,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,33,11,922805084873,2757440242,1,1,"(0.5697000622749329, 0.20028741657733917)","(0.5722916722297668, 0.19272658228874207)",1,1,3.1231842041015625,3.150741577148437,"(-48.413387298583984, 36.38673400878906, 609.0498046875)","(10.386075973510742, 36.72563171386719, 611.8071899414062)","(22.46347999572754, 163.57249450683594, 48.893733978271484)","(23.35894775390625, 164.95338439941406, 49.39634704589844)",POINT (0.5709958672523499 0.1965069994330406),,,,,,,,,,1,,
0,33,11,922805101540,2757456909,1,1,"(0.5624378323554993, 0.20067107677459717)","(0.5727787017822266, 0.19083711504936218)",1,1,3.1055450439453125,3.1397705078125,"(-48.61815643310547, 36.448177337646484, 608.8826904296875)","(10.180854797363281, 36.82263946533203, 611.63720703125)","(19.954187393188477, 163.50242614746094, 48.86823272705078)","(23.5272216796875, 165.29847717285156, 49.52193832397461)",POINT (0.5676082670688629 0.1957540959119797),,,,,,,,,,1,,
0,33,11,922805118208,2757473576,1,1,"(0.5655867457389832, 0.19556812942028046)","(0.5677137970924377, 0.189168781042099)",1,1,3.1188507080078125,3.152435302734375,"(-48.84150314331055, 36.507720947265625, 608.6309204101562)","(9.945731163024902, 36.91643142700195, 611.4259033203125)","(21.04221534729004, 164.43443298339844, 49.20740509033203)","(21.777175903320312, 165.60317993164062, 49.63282775878906)",POINT (0.5666502714157104 0.1923684552311897),,,,,,,,,,1,,
0,33,11,922805134874,2757490242,1,1,"(0.5696604251861572, 0.19562214612960815)","(0.5706613063812256, 0.18699906766414642)",1,1,3.0944061279296875,3.141082763671875,"(-49.08686447143555, 36.55400466918945, 608.406494140625)","(9.69740104675293, 37.002140045166016, 611.225830078125)","(22.449783325195312, 164.42453002929688, 49.20386505126953)","(22.795597076416016, 165.9994354248047, 49.77707290649414)",POINT (0.5701608657836914 0.1913106068968773),,,,,,,,,,1,,
0,33,11,922805151542,2757506909,1,1,"(0.5644436478614807, 0.20213332772254944)","(0.5723212957382202, 0.1933949738740921)",1,1,3.1100616455078125,3.12701416015625,"(-49.35359191894531, 36.595802307128906, 608.2189331054688)","(9.43312931060791, 37.09556579589844, 611.1290283203125)","(20.647258758544922, 163.23538208007812, 48.77100372314453)","(23.369178771972656, 164.831298828125, 49.3519172668457)",POINT (0.5683824717998505 0.1977641507983208),,,,,,,,,,1,,
0,33,11,922805168207,2757523574,1,1,"(0.5648899078369141, 0.18394017219543457)","(0.5702317953109741, 0.18414345383644104)",1,1,3.1042022705078125,3.15521240234375,"(-49.623939514160156, 36.623069763183594, 608.083251953125)","(9.156590461730957, 37.15598678588867, 611.00048828125)","(20.801456451416016, 166.55809020996094, 49.98040771484375)","(22.647218704223633, 166.52098083496094, 49.96687316894531)",POINT (0.5675608515739441 0.1840418130159378),,,,,,,,,,1,,
0,33,11,922805184875,2757540241,1,1,"(0.5696215629577637, 0.20448526740074158)","(0.5747328400611877, 0.1879139244556427)",1,1,3.086410522460937,3.130844116210937,"(-49.87574005126953, 36.6487922668457, 607.8177490234375)","(8.903921127319336, 37.21891403198242, 610.7080688476562)","(22.436351776123047, 162.8058319091797, 48.61467361450195)","(24.202438354492188, 165.83236694335938, 49.71623229980469)",POINT (0.5721772015094757 0.1961995959281921),,,,,,,,,,1,,
0,33,11,922805201542,2757556908,1,1,"(0.5667482614517212, 0.20042546093463898)","(0.5731620788574219, 0.19191598892211914)",1,1,3.10736083984375,3.12152099609375,"(-50.11577606201172, 36.649574279785156, 607.6146850585938)","(8.666738510131836, 37.24615478515625, 610.46630859375)","(21.44355010986328, 163.5472869873047, 48.88456344604492)","(23.65969467163086, 165.1014404296875, 49.45020294189453)",POINT (0.5699551701545715 0.1961707249283791),,,,,,,,,,1,,
0,33,11,922805218217,2757573582,1,1,"(0.5262938141822815, 0.20017701387405396)","(0.5363279581069946, 0.1754305213689804)",1,1,3.058837890625,3.132415771484375,"(-50.464988708496094, 36.64711380004883, 607.239013671875)","(8.315250396728516, 37.268409729003906, 610.154052734375)","(7.465514183044434, 163.59268188476562, 48.9010124206543)","(10.932579040527344, 168.11228942871094, 50.54606246948242)",POINT (0.5313108861446381 0.1878037676215172),,,,,,,,,,1,,
0,33,11,922805234883,2757590248,1,1,"(0.5042478442192078, 0.2034820318222046)","(0.5075511932373047, 0.18412894010543823)",1,1,3.084335327148437,3.1333770751953125,"(-50.80526351928711, 36.65933609008789, 607.246826171875)","(7.97758150100708, 37.309112548828125, 609.934814453125)","(-0.15191954374313354, 162.98904418945312, 48.68138885498047)","(0.9894636273384094, 166.52362060546875, 49.967872619628906)",POINT (0.5058995187282562 0.1938054859638214),,,,,,,,,,1,,
