,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,4,25,8817411542,1596506091,1,1,"(0.6003657579421997, 0.27511802315711975)","(0.5991802215576172, 0.23561863601207733)",1,1,3.056915283203125,3.089706420898437,"(-38.1201171875, 12.333008766174316, 567.30615234375)","(27.269086837768555, 14.652947425842285, 567.566650390625)","(35.05112838745117, 150.29315185546875, 44.060489654541016)","(34.640296936035156, 157.5283203125, 46.69383239746094)",POINT (0.5997729897499084 0.2553683295845985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,4,25,8817428210,1596522758,1,1,"(0.5313428044319153, 0.29964521527290344)","(0.5417784452438354, 0.2537251114845276)",1,1,3.022567749023437,3.072906494140625,"(-37.311912536621094, 12.194812774658203, 567.9043579101562)","(27.995309829711914, 14.55286693572998, 568.5848388671875)","(11.132157325744629, 145.8004913330078, 42.42526626586914)","(14.748501777648926, 154.2117462158203, 45.48668670654297)",POINT (0.5365606248378754 0.2766851633787155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,4,25,8817444877,1596539425,1,1,"(0.5295669436454773, 0.306991845369339)","(0.5315519571304321, 0.2637161612510681)",1,1,3.02166748046875,3.0833282470703125,"(-36.201454162597656, 12.197022438049316, 569.0050048828125)","(29.111648559570312, 14.533980369567871, 569.4085083007812)","(10.516757011413574, 144.45480346679688, 41.93547821044922)","(11.204648971557617, 152.3816680908203, 44.82060623168945)",POINT (0.5305594503879547 0.2853540033102036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,4,25,8817461544,1596556091,1,1,"(0.5299858450889587, 0.31060612201690674)","(0.532202422618866, 0.27704745531082153)",1,1,3.0311279296875,3.077911376953125,"(-35.02460479736328, 12.179428100585938, 570.0582275390625)","(30.29375457763672, 14.507360458374023, 570.4158935546875)","(10.661924362182617, 143.79275512695312, 41.69451141357422)","(11.430047988891602, 149.9397430419922, 43.93183135986328)",POINT (0.5310941338539124 0.2938267886638641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,4,25,8817478211,1596572758,1,1,"(0.527527391910553, 0.30680051445961)","(0.5334309339523315, 0.2620640993118286)",1,1,3.0211334228515625,3.063461303710937,"(-33.78337097167969, 12.131650924682617, 571.2352294921875)","(31.538639068603516, 14.442914962768555, 571.53466796875)","(9.809964179992676, 144.4898681640625, 41.948219299316406)","(11.855757713317871, 152.6842498779297, 44.9307861328125)",POINT (0.5304791629314423 0.2844323068857193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,4,25,8817494878,1596589424,1,1,"(0.5286600589752197, 0.30909469723701477)","(0.5356975793838501, 0.2684919536113739)",1,1,3.0162811279296875,3.0735321044921875,"(-32.530517578125, 12.048650741577148, 572.814697265625)","(32.83812713623047, 14.332931518554688, 572.7864990234375)","(10.202493667602539, 144.06961059570312, 41.79527282714844)","(12.641240119934082, 151.5068817138672, 44.50220489501953)",POINT (0.5321788191795349 0.2887933254241943),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,4,25,8817511545,1596606091,1,1,"(0.5316373109817505, 0.3339460492134094)","(0.5274065136909485, 0.29995930194854736)",1,1,2.9824676513671875,2.9935302734375,"(-31.1951904296875, 11.966930389404297, 574.2841796875)","(34.11818313598633, 14.148040771484375, 573.78466796875)","(11.234209060668945, 139.51756286621094, 40.1384391784668)","(9.768101692199707, 145.7429656982422, 42.4043083190918)",POINT (0.5295219123363495 0.3169526755809784),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817661559,1596756101,1,1,"(0.46421363949775696, 0.4040548801422119)","(0.4812699854373932, 0.41564616560935974)",1,1,2.907470703125,2.8778228759765625,"(-22.920032501220703, 10.595856666564941, 582.4244995117188)","(42.40959930419922, 12.481176376342773, 581.7537841796875)","(-12.130553245544434, 126.6756362915039, 35.46440124511719)","(-6.21990966796875, 124.55245208740234, 34.691627502441406)",POINT (0.4727418124675751 0.4098505228757858),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,25,8817678224,1596772766,1,1,"(0.4625028371810913, 0.37335404753685)","(0.47441747784614563, 0.3470705449581146)",1,1,2.9524078369140625,2.988739013671875,"(-22.572309494018555, 10.602203369140625, 583.0242919921875)","(42.77477264404297, 12.511302947998047, 582.5303955078125)","(-12.723410606384277, 132.2991485595703, 37.51116943359375)","(-8.594549179077148, 137.113525390625, 39.26347732543945)",POINT (0.4684601575136185 0.3602122962474823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817694892,1596789433,1,1,"(0.46595603227615356, 0.3768167495727539)","(0.48043128848075867, 0.3513856828212738)",1,1,2.9706268310546875,2.9879608154296875,"(-22.348770141601562, 10.59126091003418, 583.3416137695312)","(42.98267364501953, 12.538384437561035, 582.8923950195312)","(-11.52674674987793, 131.6648712158203, 37.28033447265625)","(-6.510536193847656, 136.32313537597656, 38.975772857666016)",POINT (0.4731936603784561 0.3641012161970138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
