,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,14,30,237791574134,4424303607,1,1,"(0.3910975158214569, 0.3779410421848297)","(0.39087048172950745, 0.20142260193824768)",1,1,3.4514923095703125,3.8980560302734375,"(20.260955810546875, 99.27364349365234, 471.0331726074219)","(84.99351501464844, 99.2457275390625, 463.3105163574219)","(-37.01682662963867, 136.7159423828125, 39.118743896484375)","(-37.095882415771484, 169.20755004882812, 50.944725036621094)",POINT (0.3909839987754822 0.2896818220615387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791590800,4424320273,1,1,"(0.39186063408851624, 0.3550467789173126)","(0.3988279402256012, 0.2874505817890167)",1,1,3.435531616210937,3.8400726318359375,"(20.83384895324707, 99.4668197631836, 476.3848876953125)","(85.39031982421875, 99.53192138671875, 468.156494140625)","(-36.75106430053711, 140.93006896972656, 40.65255355834961)","(-34.324806213378906, 153.37245178222656, 45.18122100830078)",POINT (0.3953442871570587 0.3212486803531647),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791607476,4424336948,1,1,"(0.39323297142982483, 0.2886364758014679)","(0.3954699635505676, 0.2673678398132324)",1,1,3.3179168701171875,3.836929321289064,"(21.457120895385742, 99.6536865234375, 482.224365234375)","(86.02099609375, 99.74822235107422, 473.83612060546875)","(-36.27317428588867, 153.15415954589844, 45.10179138183594)","(-35.49416732788086, 157.06906127929688, 46.52668380737305)",POINT (0.3943514674901962 0.2780021578073502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791624144,4424353616,1,1,"(0.3935767114162445, 0.3542172908782959)","(0.4138088524341583, 0.25304538011550903)",1,1,3.4281158447265625,3.820877075195313,"(22.112499237060547, 99.77262878417969, 488.1812744140625)","(86.71673583984375, 100.00764465332031, 480.2965087890625)","(-36.15347671508789, 141.082763671875, 40.708126068115234)","(-29.107934951782227, 159.70538330078125, 47.486236572265625)",POINT (0.4036927819252014 0.3036313354969025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791640810,4424370281,1,1,"(0.38748469948768616, 0.3440592288970947)","(0.39961251616477966, 0.2511289715766907)",1,1,3.402130126953125,3.798614501953125,"(22.82984161376953, 100.01602172851562, 495.04180908203125)","(87.41908264160156, 100.31478118896484, 486.85791015625)","(-38.2749137878418, 142.95254516601562, 41.388675689697266)","(-34.05159378051758, 160.0581512451172, 47.61460876464844)",POINT (0.3935486078262329 0.2975941002368927),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791657477,4424386948,1,1,"(0.4033626914024353, 0.3735446631908417)","(0.4091993272304535, 0.2342051863670349)",1,1,3.3927459716796875,3.807830810546875,"(23.576778411865234, 100.14871215820312, 501.9634094238281)","(88.18994140625, 100.63074493408203, 494.0380859375)","(-32.74565505981445, 137.52517700195312, 39.41328811645508)","(-30.713125228881836, 163.17327880859375, 48.748416900634766)",POINT (0.4062810093164444 0.3038749247789383),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791674144,4424403614,1,1,"(0.39606019854545593, 0.34341877698898315)","(0.40091803669929504, 0.2102704495191574)",1,1,3.399932861328125,3.750396728515625,"(24.385164260864258, 100.20217895507812, 509.51678466796875)","(89.03086853027344, 100.90125274658203, 501.51104736328125)","(-35.288639068603516, 143.0704345703125, 41.431602478027344)","(-33.59696578979492, 167.5789337158203, 50.351951599121094)",POINT (0.3984891176223755 0.2768446132540703),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791690811,4424420281,1,1,"(0.38525256514549255, 0.30752748250961304)","(0.40782657265663147, 0.23337019979953766)",1,1,3.352035522460937,3.7917327880859375,"(25.304901123046875, 100.18321228027344, 517.0809326171875)","(89.94635009765625, 101.02239990234375, 509.09857177734375)","(-39.052223205566406, 149.67691040039062, 43.836158752441406)","(-31.191173553466797, 163.32699584960938, 48.80436706542969)",POINT (0.396539568901062 0.2704488411545754),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791707479,4424436948,1,1,"(0.40922126173973083, 0.3011949956417084)","(0.4056378901004791, 0.2075851708650589)",1,1,3.3203582763671875,3.780670166015625,"(26.42121124267578, 100.03700256347656, 524.7835083007812)","(91.06568145751953, 101.14495849609375, 516.7794189453125)","(-30.705476760864258, 150.84251403808594, 44.260414123535156)","(-31.95334815979004, 168.07321166992188, 50.5318717956543)",POINT (0.407429575920105 0.2543900832533836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791724145,4424453614,1,1,"(0.40433889627456665, 0.2830612361431122)","(0.40132060647010803, 0.19973933696746826)",1,1,3.364013671875,3.768218994140625,"(27.820247650146484, 99.90321350097656, 532.4710693359375)","(92.47431945800781, 101.33507537841797, 524.4073486328125)","(-32.40570068359375, 154.18040466308594, 45.47529220581055)","(-33.456764221191406, 169.5173797607422, 51.0574951171875)",POINT (0.4028297513723373 0.2414002865552902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
