,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,afunc.1,const.1,-----------.1,std::vector<int>.1,inputList.1,-----------.2,-----------.3,std::unordered_map.1,int.2,int.3,Map.1,for.1,int.4,number.1,-----------.4,inputList.2,-----------.5,number.2,++.1,-----------.6,int.5,result2.1,=.1,inputList.3,0.1,-----------.7,int.6,result1.1,=.2,Map.2,inputList.4,0.2, .1,-----------.8,-----------.9,for.2,const.2,auto.1,entry.1,-----------.10,Map.3,if.1,second.1,>.12,result1.2,result2.2,=.3,entry.2,first.1,result1.3,=.4,entry.3,second.2,-----------.13,-----------.14,return.1,result2.3,-----------.15,question,code,choices
0,6,14,2275038356,2493616346,1,1,"(0.4694885313510895, 0.27525025606155396)","(0.46427690982818604, 0.2563740611076355)",1,1,2.64739990234375,2.68121337890625,"(-57.396018981933594, -58.79279708862305, 644.9848022460938)","(4.589951038360596, -55.72477340698242, 645.6342163085938)","(-10.3026123046875, 150.26893615722656, 44.05168151855469)","(-12.10862922668457, 153.72654724121094, 45.310035705566406)",POINT (0.4668827205896378 0.2658121585845947),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2275055023,2493633013,1,1,"(0.46874120831489563, 0.27633020281791687)","(0.44897839426994324, 0.2506241500377655)",1,1,2.652938842773437,2.667831420898437,"(-57.35078811645508, -58.78278350830078, 645.1099853515625)","(4.658392906188965, -55.70911407470703, 645.1954345703125)","(-10.561585426330566, 150.07113647460938, 43.97964096069336)","(-17.410127639770508, 154.77972412109375, 45.69348907470703)",POINT (0.4588598012924194 0.2634771764278412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2275071691,2493649680,1,1,"(0.4640565812587738, 0.2727430760860443)","(0.43677520751953125, 0.2506349980831146)",1,1,2.650497436523437,2.656402587890625,"(-57.34174728393555, -58.73686218261719, 645.1343994140625)","(4.696338176727295, -55.67129135131836, 645.08056640625)","(-12.184985160827637, 150.72817993164062, 44.21882629394531)","(-21.63898468017578, 154.77774047851562, 45.6927490234375)",POINT (0.4504158943891525 0.2616890370845795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2275088357,2493666346,1,1,"(0.3093288242816925, 0.2262071669101715)","(0.32055360078811646, 0.18551740050315857)",1,1,2.6866455078125,2.701889038085937,"(-57.773529052734375, -58.683258056640625, 645.3096923828125)","(4.294171333312988, -55.65595245361328, 645.706787109375)","(-65.8038101196289, 159.25222778320312, 47.321311950683594)","(-61.91401672363281, 166.70541381835938, 50.03408432006836)",POINT (0.3149412125349045 0.205862283706665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275105025,2493683013,1,1,"(0.19613319635391235, 0.19423197209835052)","(0.17925603687763214, 0.18794409930706024)",1,1,2.6689910888671875,2.7007598876953125,"(-58.13623809814453, -58.69647979736328, 645.7625732421875)","(3.864769458770752, -55.53971862792969, 645.3433837890625)","(-105.03023529052734, 165.10916137695312, 49.453067779541016)","(-110.8787841796875, 166.2609405517578, 49.87221145629883)",POINT (0.1876946166157722 0.1910880357027054),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275121692,2493699680,1,1,"(0.21373115479946136, 0.1950473040342331)","(0.17529384791851044, 0.1747806966304779)",1,1,2.6694488525390625,2.711410522460937,"(-58.09526824951172, -58.67165756225586, 645.8648071289062)","(3.892204999923706, -55.503265380859375, 645.3429565429688)","(-98.93190002441406, 164.95982360839844, 49.3986930847168)","(-112.2518310546875, 168.6720733642578, 50.749874114990234)",POINT (0.1945125013589859 0.1849140003323555),,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275138366,2493716353,1,1,"(0.21334794163703918, 0.19965896010398865)","(0.18300040066242218, 0.17149917781352997)",1,1,2.66436767578125,2.68646240234375,"(-58.06084442138672, -58.63548278808594, 645.73193359375)","(3.920639991760254, -55.48451614379883, 645.5281982421875)","(-99.064697265625, 164.1151123046875, 49.091209411621094)","(-109.58123016357422, 169.2731475830078, 50.96866989135742)",POINT (0.1981741711497307 0.1855790689587593),,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275155033,2493733020,1,1,"(0.21359165012836456, 0.19647999107837677)","(0.18552659451961517, 0.17434749007225037)",1,1,2.667938232421875,2.6969146728515625,"(-58.038658142089844, -58.60655975341797, 645.8053588867188)","(3.9412741661071777, -55.47001647949219, 645.4122314453125)","(-98.98023986816406, 164.69740295410156, 49.30316162109375)","(-108.705810546875, 168.7514190673828, 50.77877426147461)",POINT (0.1995591223239899 0.1854137405753136),,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275171700,2493749687,1,1,"(0.2085827887058258, 0.19657565653324127)","(0.18707305192947388, 0.16980303823947906)",1,1,2.660186767578125,2.69549560546875,"(-57.999183654785156, -58.544593811035156, 645.7398681640625)","(3.9732837677001953, -55.466453552246094, 645.3197021484375)","(-100.71599578857422, 164.6798553466797, 49.296852111816406)","(-108.16990661621094, 169.58384704589844, 51.08170700073242)",POINT (0.1978279203176498 0.1831893473863602),,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275188367,2493766353,1,1,"(0.20858509838581085, 0.1921970546245575)","(0.18176892399787903, 0.17379072308540344)",1,1,2.681625366210937,2.710678100585937,"(-57.961387634277344, -58.499290466308594, 645.7220458984375)","(4.037654876708984, -55.46087646484375, 645.4337158203125)","(-100.71519470214844, 165.48191833496094, 49.58869171142578)","(-110.00798034667969, 168.85342407226562, 50.81583786010742)",POINT (0.1951770111918449 0.1829938888549805),,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275205034,2493783020,1,1,"(0.20654301345348358, 0.19160676002502441)","(0.18222390115261078, 0.163610577583313)",1,1,2.651947021484375,2.6923980712890625,"(-57.91383361816406, -58.46417999267578, 645.6375732421875)","(4.100294589996338, -55.45888900756836, 645.6862182617188)","(-101.4228515625, 165.5900421142578, 49.6280403137207)","(-109.85031127929688, 170.71812438964844, 51.49456024169922)",POINT (0.1943834573030472 0.1776086688041687),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275221702,2493799687,1,1,"(0.2087860107421875, 0.20012357831001282)","(0.17967869341373444, 0.1657264083623886)",1,1,2.6569976806640625,2.6933135986328125,"(-57.88688659667969, -58.43846893310547, 645.7152099609375)","(4.125682830810547, -55.41966247558594, 645.5232543945312)","(-100.64556884765625, 164.02999877929688, 49.06025314331055)","(-110.7323226928711, 170.33058166503906, 51.35344696044922)",POINT (0.194232352077961 0.1829249933362007),,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2275238368,2493816353,1,1,"(0.20688411593437195, 0.202545627951622)","(0.1812131404876709, 0.18533064424991608)",1,1,2.649200439453125,2.6864776611328125,"(-57.85812759399414, -58.39524459838867, 645.67333984375)","(4.147312641143799, -55.34962463378906, 645.592041015625)","(-101.30464935302734, 163.58633422851562, 48.8988151550293)","(-110.20057678222656, 166.7396240234375, 50.0465202331543)",POINT (0.1940486282110214 0.193938136100769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
