,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,number.1,n.1,if.1,<=.1,n.2,0.1,0.2,      .1,letrec.1,-----------.1,helper.1,lambda.1,i.1,acc.1,if.2,>.1,i.2,n.3,acc.2,helper.2,+.1,i.3,1.1,+.2,acc.3,i.4,).1,).2,).3,).4,(.1,helper.3,1.2,0.3,).5,).6,).7,question,code,choices
0,27,32,242718636617,9351225728,1,1,"(0.4395645558834076, 0.37226128578186035)","(0.4466177523136139, 0.36661043763160706)",1,1,3.0310516357421875,3.127304077148437,"(-38.851959228515625, 46.993980407714844, 480.5202941894531)","(24.094829559326172, 52.25312805175781, 482.6126403808594)","(-20.6723575592041, 132.49929809570312, 37.584068298339844)","(-18.22817611694336, 133.5343780517578, 37.960777282714844)",POINT (0.4430911540985107 0.3694358617067337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,32,242718653287,9351242397,1,1,"(0.44016581773757935, 0.34108641743659973)","(0.4438801109790802, 0.32187420129776)",1,1,3.078598022460937,3.1772613525390625,"(-39.0026741027832, 46.867530822753906, 479.9608459472656)","(23.91081428527832, 52.238380432128906, 482.48236083984375)","(-20.46401023864746, 138.20965576171875, 39.66241455078125)","(-19.176868438720703, 141.728759765625, 40.943321228027344)",POINT (0.4420229643583298 0.3314803093671799),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718669953,9351259063,1,1,"(0.439291775226593, 0.3340320885181427)","(0.439689040184021, 0.3296460509300232)",1,1,3.133819580078125,3.14605712890625,"(-39.217491149902344, 46.847084045410156, 480.23126220703125)","(23.728975296020508, 52.21607971191406, 482.26177978515625)","(-20.76689338684082, 139.50180053710938, 40.132728576660156)","(-20.629230499267578, 140.30519104003906, 40.42515563964844)",POINT (0.439490407705307 0.331839069724083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718686621,9351275730,1,1,"(0.4317198693752289, 0.3151220679283142)","(0.4435853660106659, 0.3479587733745575)",1,1,3.131927490234375,3.1499786376953125,"(-39.3914794921875, 46.77177429199219, 479.9110107421875)","(23.54062271118164, 52.23164367675781, 482.0927429199219)","(-23.39083480834961, 142.965576171875, 41.3934326171875)","(-19.27901268005371, 136.95083618164062, 39.20425033569336)",POINT (0.4376526176929474 0.3315404206514358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718703287,9351292396,1,1,"(0.44653430581092834, 0.41926172375679016)","(0.440245121717453, 0.4258508086204529)",1,1,2.933334350585937,3.0042724609375,"(-39.58573913574219, 46.713905334472656, 479.6141662597656)","(23.37514877319336, 52.26770782470703, 482.06396484375)","(-18.257089614868164, 123.89018249511719, 34.450557708740234)","(-20.4365177154541, 122.68324279785156, 34.011287689208984)",POINT (0.4433897137641907 0.4225562661886215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,32,242718836628,9351425733,1,1,"(0.4263109266757965, 0.34900209307670593)","(0.43153709173202515, 0.3727782368659973)",1,1,2.8551177978515625,2.960800170898437,"(-40.23703384399414, 46.83283996582031, 478.503662109375)","(22.682958602905273, 52.783172607421875, 480.24029541015625)","(-25.26523208618164, 136.75973510742188, 39.13468551635742)","(-23.454181671142578, 132.40463256835938, 37.54954147338867)",POINT (0.4289240092039108 0.3608901649713516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,32,242718853295,9351442399,1,1,"(0.42504915595054626, 0.302663117647171)","(0.43049007654190063, 0.30871060490608215)",1,1,2.9824676513671875,3.0417633056640625,"(-40.26068115234375, 46.87147521972656, 478.22381591796875)","(22.621578216552734, 52.82318878173828, 480.1661682128906)","(-25.702489852905273, 145.24769592285156, 42.224063873291016)","(-23.817007064819336, 144.1399688720703, 41.82088851928711)",POINT (0.4277696162462234 0.3056868612766266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718869962,9351459066,1,1,"(0.4081175625324249, 0.2552596628665924)","(0.42877376079559326, 0.3180735111236572)",1,1,3.06890869140625,3.0607147216796875,"(-40.279510498046875, 46.916358947753906, 478.47991943359375)","(22.59278106689453, 52.87055206298828, 479.97637939453125)","(-31.569900512695312, 153.93064880371094, 45.38439178466797)","(-24.411775588989258, 142.42495727539062, 41.1966552734375)",POINT (0.4184456616640091 0.2866665869951248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242718886630,9351475733,1,1,"(0.4071260392665863, 0.23420599102973938)","(0.4290408492088318, 0.30420395731925964)",1,1,3.0738067626953125,3.027984619140625,"(-40.267333984375, 46.93049240112305, 478.5706481933594)","(22.624767303466797, 52.916748046875, 480.03814697265625)","(-31.913496017456055, 157.78707885742188, 46.788021087646484)","(-24.319215774536133, 144.9654541015625, 42.12134552001953)",POINT (0.418083444237709 0.2692049741744995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242718903296,9351492399,1,1,"(0.4074305295944214, 0.23084388673305511)","(0.42292240262031555, 0.32269376516342163)",1,1,3.082550048828125,3.051620483398437,"(-40.26801300048828, 46.948753356933594, 478.66009521484375)","(22.64748191833496, 52.95136260986328, 480.1006164550781)","(-31.8079776763916, 158.4029083251953, 47.012203216552734)","(-26.43948745727539, 141.5786590576172, 40.888633728027344)",POINT (0.4151764661073685 0.2767688259482384),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
