,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,-----------.2,int.2,a.1,=.1,2.1,1.1,std.1,cout.1,<<.1,*.1,a.2,+.1,1.2,-----------.8,return.1,0.1,-----------.9,question,code,choices
0,34,7,74149241292,4528192234,1,1,"(0.4246450960636139, 0.22013959288597107)","(0.42753297090530396, 0.2741420269012451)",1,1,2.5819244384765625,2.4331817626953125,"(-60.24396514892578, 86.92481231689453, 451.8016662597656)","(4.039932727813721, 88.87769317626953, 456.84222412109375)","(-27.65666389465332, 159.94674682617188, 47.5740966796875)","(-26.658851623535156, 150.0839385986328, 43.984291076660156)",POINT (0.4260890334844589 0.2471408098936081),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149257959,4528208901,1,1,"(0.41625481843948364, 0.24845564365386963)","(0.4248201549053192, 0.25940537452697754)",1,1,2.6639862060546875,2.4183502197265625,"(-60.125518798828125, 86.94530487060547, 451.9783935546875)","(4.138350486755371, 88.84381103515625, 456.87890625)","(-30.55573272705078, 154.77520751953125, 45.691810607910156)","(-27.59619903564453, 152.77537536621094, 44.96392822265625)",POINT (0.4205374866724014 0.2539305090904236),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149274627,4528225568,1,1,"(0.4093884527683258, 0.24069319665431976)","(0.4267914891242981, 0.2479732185602188)",1,1,2.5847625732421875,2.43536376953125,"(-60.22357940673828, 86.93597412109375, 452.1083068847656)","(3.8648319244384766, 88.84134674072266, 457.015869140625)","(-32.92824172973633, 156.19290161132812, 46.20779800415039)","(-26.915054321289062, 154.8633270263672, 45.72383499145508)",POINT (0.418089970946312 0.2443332076072693),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149291293,4528242234,1,1,"(0.42016372084617615, 0.22028230130672455)","(0.4383314549922943, 0.2745092511177063)",1,1,2.5343475341796875,2.404037475585937,"(-60.294036865234375, 86.90091705322266, 452.27130126953125)","(3.8128843307495117, 88.83209991455078, 457.2514343261719)","(-29.205101013183594, 159.92068481445312, 47.564613342285156)","(-22.927696228027344, 150.01686096191406, 43.95989227294922)",POINT (0.4292475879192352 0.2473957762122154),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149307961,4528258901,1,1,"(0.5254737138748169, 0.24136924743652344)","(0.5177565813064575, 0.24810847640037537)",1,1,2.551727294921875,2.365997314453125,"(-60.31766128540039, 86.86766052246094, 452.23834228515625)","(3.9567437171936035, 88.79180908203125, 457.36065673828125)","(7.182162761688232, 156.06944274902344, 46.1628532409668)","(4.515697956085205, 154.83859252929688, 45.71488571166992)",POINT (0.5216151475906372 0.2447388619184494),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149324632,4528275572,1,1,"(0.48513343930244446, 0.22669754922389984)","(0.5042099356651306, 0.24156597256660461)",1,1,2.5496978759765625,2.365570068359375,"(-60.194908142089844, 86.87315368652344, 452.4179382324219)","(3.884781837463379, 88.73274230957031, 457.3271789550781)","(-6.7564377784729, 158.7490234375, 47.138179779052734)","(-0.16501885652542114, 156.0335235595703, 46.14977264404297)",POINT (0.4946716874837875 0.2341317608952522),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149341299,4528292238,1,1,"(0.484396368265152, 0.22589248418807983)","(0.5148335695266724, 0.26032301783561707)",1,1,2.53472900390625,2.352890014648437,"(-60.31960678100586, 86.8583984375, 452.4979248046875)","(3.7786543369293213, 88.72405242919922, 457.30908203125)","(-7.011106014251709, 158.8960723876953, 47.19167709350586)","(3.5057082176208496, 152.6077880859375, 44.90290069580078)",POINT (0.4996149688959122 0.2431077510118484),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149357966,4528308905,1,1,"(0.48981067538261414, 0.22529886662960052)","(0.5035085678100586, 0.24088028073310852)",1,1,2.5106353759765625,2.3717041015625,"(-60.429080963134766, 86.81725311279297, 452.4356689453125)","(3.6646058559417725, 88.70465087890625, 457.3565979003906)","(-5.140320777893066, 159.00448608398438, 47.23114013671875)","(-0.4073616564273834, 156.1587371826172, 46.195377349853516)",POINT (0.4966596215963364 0.2330895736813545),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149374634,4528325572,1,1,"(0.48963430523872375, 0.23912295699119568)","(0.50644850730896, 0.2750820815563202)",1,1,2.548675537109375,2.3269195556640625,"(-60.54365539550781, 86.78240203857422, 452.3807373046875)","(3.5608572959899902, 88.67739868164062, 457.2293701171875)","(-5.20127010345459, 156.4796905517578, 46.31219482421875)","(0.6084718704223633, 149.9122314453125, 43.921817779541016)",POINT (0.4980414062738419 0.2571025192737579),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149391300,4528342238,1,1,"(0.493609219789505, 0.2181733399629593)","(0.5196077823638916, 0.26174262166023254)",1,1,2.4484405517578125,2.3357696533203125,"(-60.67612838745117, 86.76020050048828, 452.4149169921875)","(3.432209014892578, 88.63219451904297, 457.15350341796875)","(-3.8278231620788574, 160.3058624267578, 47.70478057861328)","(5.155344486236572, 152.3485107421875, 44.808563232421875)",POINT (0.5066085010766983 0.2399579808115959),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149407968,4528358905,1,1,"(0.4917932152748108, 0.2083369642496109)","(0.4982859790325165, 0.26321646571159363)",1,1,2.4667510986328125,2.3507080078125,"(-60.81951904296875, 86.74214172363281, 452.45733642578125)","(3.488697052001953, 88.6715087890625, 457.1972351074219)","(-4.455310821533203, 162.10235595703125, 48.358646392822266)","(-2.21189284324646, 152.07933044433594, 44.71058654785156)",POINT (0.4950395971536636 0.2357767149806023),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149424635,4528375572,1,1,"(0.49227046966552734, 0.23355692625045776)","(0.5454829335212708, 0.27071964740753174)",1,1,2.507675170898437,2.300399780273437,"(-60.9365234375, 86.738037109375, 452.40966796875)","(2.9791922569274902, 88.64787292480469, 457.17047119140625)","(-4.290396690368652, 157.4962615966797, 46.68217849731445)","(14.095855712890625, 150.708984375, 44.2117805480957)",POINT (0.518876701593399 0.2521382868289948),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149441302,4528392238,1,1,"(0.49684804677963257, 0.22698275744915009)","(0.5104995965957642, 0.2714952826499939)",1,1,2.437286376953125,2.299652099609375,"(-61.085662841796875, 86.7335205078125, 452.3731994628906)","(3.0580925941467285, 88.6982650756836, 457.2021484375)","(-2.708733558654785, 158.6969451904297, 47.11918258666992)","(2.0082199573516846, 150.56732177734375, 44.16024398803711)",POINT (0.5036738216876984 0.249239020049572),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149457973,4528408909,1,1,"(0.48894354701042175, 0.2100868821144104)","(0.5110165476799011, 0.26818132400512695)",1,1,2.456298828125,2.2987060546875,"(-61.197288513183594, 86.70098114013672, 452.3204345703125)","(2.9277288913726807, 88.72509002685547, 457.142822265625)","(-5.439933776855469, 161.7827606201172, 48.242313385009766)","(2.186830520629883, 151.17257690429688, 44.38052749633789)",POINT (0.4999800473451614 0.2391341030597687),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149474641,4528425576,1,1,"(0.46650218963623047, 0.2726719379425049)","(0.48248669505119324, 0.3264719843864441)",1,1,2.4702301025390625,2.2940826416015625,"(-61.4133415222168, 86.59626770019531, 452.4158630371094)","(2.6854963302612305, 88.63396453857422, 457.09869384765625)","(-13.193994522094727, 150.3524169921875, 44.08203125)","(-7.670944690704346, 140.5265350341797, 40.50572967529297)",POINT (0.4744944423437118 0.2995719611644745),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74149491307,4528442242,1,1,"(0.5151169300079346, 0.31569328904151917)","(0.4874475598335266, 0.3254907429218292)",1,1,2.4173583984375,2.2978973388671875,"(-62.00761032104492, 86.63372802734375, 452.43499755859375)","(2.5408544540405273, 88.63910675048828, 457.0470275878906)","(3.6036384105682373, 142.49513244628906, 41.22222900390625)","(-5.956839084625244, 140.7057647705078, 40.57094192504883)",POINT (0.5012822449207306 0.3205920159816742),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74149507975,4528458909,1,1,"(0.4705113172531128, 0.2813372015953064)","(0.4721319377422333, 0.3169764280319214)",1,1,2.423553466796875,2.253173828125,"(-61.70077133178711, 86.57921600341797, 452.4229736328125)","(2.445556163787842, 88.61349487304688, 456.92449951171875)","(-11.808743476867676, 148.76980590820312, 43.506038665771484)","(-11.248770713806152, 142.2607879638672, 41.13691711425781)",POINT (0.471321627497673 0.2991568148136139),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74149524640,4528475574,1,1,"(0.45923173427581787, 0.28303539752960205)","(0.47339174151420593, 0.33442503213882446)",1,1,2.3785400390625,2.238510131835937,"(-61.85039520263672, 86.60519409179688, 452.50885009765625)","(2.3241658210754395, 88.6025161743164, 456.7320556640625)","(-15.706121444702148, 148.4596710205078, 43.393131256103516)","(-10.813472747802734, 139.07403564453125, 39.97703552246094)",POINT (0.4663117378950119 0.3087302148342133),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74149541307,4528492240,1,1,"(0.478294312953949, 0.24886454641819)","(0.47670072317123413, 0.3042551279067993)",1,1,2.3773956298828125,2.28662109375,"(-62.20112609863281, 86.58329772949219, 452.3436279296875)","(2.1714015007019043, 88.63700103759766, 456.662109375)","(-9.119519233703613, 154.7005157470703, 45.66461181640625)","(-9.670138359069824, 144.58416748046875, 41.98256301879883)",POINT (0.4774975180625916 0.2765598371624947),,,,,,,,,,,,,,,,,,,,,1,1,
