,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,lst.1,  .1,letrec.1,-----------.1,helper.1,lambda.1,lst.2,acc.1,if.1,nan.1,lst.3,acc.2,helper.2,cdr.1,lst.4,if.2,odd.1,car.1,lst.5,-----------.3,+.1,acc.3,*.1,car.2,lst.6,car.3,lst.7,-----------.6,-----------.7,acc.4,).1,).2,).3,).4,).5,helper.3,lst.8,0.1,-----------.13,-----------.14,question,code,choices
0,28,36,7720332312,7938748873,1,1,"(0.4054918587207794, 0.20632337033748627)","(0.4099138677120209, 0.16909615695476532)",1,1,3.4499053955078125,3.35247802734375,"(-64.52671813964844, 33.99355697631836, 486.70867919921875)","(-0.21736112236976624, 31.86830711364746, 489.127685546875)","(-32.47978973388672, 162.89437866210938, 48.64691162109375)","(-30.947412490844727, 169.7133331298828, 51.128807067871094)",POINT (0.4077028632164002 0.1877097636461258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,36,7720348986,7938765546,1,1,"(0.3744686245918274, 0.198884978890419)","(0.3844681680202484, 0.17247606813907623)",1,1,3.4053497314453125,3.344940185546875,"(-65.33944702148438, 34.09809875488281, 486.5522155761719)","(-1.0282461643218994, 32.39916229248047, 488.8310546875)","(-43.2304801940918, 164.2568817138672, 49.14281463623047)","(-39.76527786254883, 169.09422302246094, 50.903499603271484)",POINT (0.3794683963060379 0.1856805235147476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,36,7720365654,7938782214,1,1,"(0.3717198371887207, 0.19398744404315948)","(0.38662976026535034, 0.18162938952445984)",1,1,3.38983154296875,3.3264923095703125,"(-65.96138000488281, 34.18215560913086, 486.309326171875)","(-1.6125202178955078, 32.89476776123047, 488.41522216796875)","(-44.183040618896484, 165.15394592285156, 49.46939468383789)","(-39.01620101928711, 167.4176025390625, 50.293243408203125)",POINT (0.3791747987270355 0.1878084167838097),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,36,7720382322,7938798881,1,1,"(0.37689605355262756, 0.19713997840881348)","(0.3841707408428192, 0.17204976081848145)",1,1,3.3799591064453125,3.321929931640625,"(-66.53456115722656, 34.19452667236328, 486.12750244140625)","(-2.1783485412597656, 33.39372634887695, 488.1170654296875)","(-42.38930130004883, 164.5764923095703, 49.25920867919922)","(-39.86835479736328, 169.1723175048828, 50.93190002441406)",POINT (0.3805333971977234 0.1845948696136475),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,36,7720398980,7938815539,1,1,"(0.37821727991104126, 0.21181485056877136)","(0.3811318874359131, 0.17652137577533722)",1,1,3.3613433837890625,3.293212890625,"(-67.03569030761719, 34.21698760986328, 485.84814453125)","(-2.6722564697265625, 33.8902473449707, 487.83319091796875)","(-41.93143844604492, 161.8885040283203, 48.28077697753906)","(-40.92142105102539, 168.35324096679688, 50.63379669189453)",POINT (0.3796745836734772 0.1941681131720543),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,36,7720415649,7938832207,1,1,"(0.3755071759223938, 0.21180106699466705)","(0.3821775019168854, 0.17677395045757294)",1,1,3.35101318359375,3.283050537109375,"(-67.48828887939453, 34.261199951171875, 485.69635009765625)","(-3.1187100410461426, 34.33412170410156, 487.48345947265625)","(-42.87058639526367, 161.89100646972656, 48.281768798828125)","(-40.55908203125, 168.30697631835938, 50.616966247558594)",POINT (0.3788423389196396 0.19428750872612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,36,7720432315,7938848873,1,1,"(0.3724416196346283, 0.20103363692760468)","(0.38080090284347534, 0.1867833435535431)",1,1,3.3363494873046875,3.2736053466796875,"(-67.88621520996094, 34.337371826171875, 485.59661865234375)","(-3.4917023181915283, 34.78559112548828, 487.1748962402344)","(-43.932918548583984, 163.86329650878906, 48.99959945678711)","(-41.03611373901367, 166.4735565185547, 49.949607849121094)",POINT (0.3766212612390518 0.1939084902405739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,36,7720448981,7938865539,1,1,"(0.36844193935394287, 0.20290003716945648)","(0.38114985823631287, 0.1869610995054245)",1,1,3.3325653076171875,3.2735748291015625,"(-68.20799255371094, 34.43714904785156, 485.56329345703125)","(-3.778838634490967, 35.20124053955078, 486.840576171875)","(-45.3189582824707, 163.52142333984375, 48.87517166137695)","(-40.915191650390625, 166.44097900390625, 49.937801361083984)",POINT (0.3747958987951279 0.1949305683374405),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,36,7720465657,7938882214,1,1,"(0.37343841791152954, 0.2183590531349182)","(0.3801111578941345, 0.18711194396018982)",1,1,3.3214263916015625,3.25360107421875,"(-68.43634033203125, 34.523094177246094, 485.3753356933594)","(-3.973304033279419, 35.636817932128906, 486.73175048828125)","(-43.58749008178711, 160.6897735595703, 47.84454345703125)","(-41.275150299072266, 166.41334533691406, 49.92775344848633)",POINT (0.376774787902832 0.202735498547554),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,36,7720598998,7939015552,1,1,"(0.34943801164627075, 0.2400948703289032)","(0.3754688799381256, 0.16693854331970215)",1,1,2.886703491210937,3.184051513671875,"(-69.07929229736328, 35.91822814941406, 483.71588134765625)","(-4.546620845794678, 38.759124755859375, 483.8837890625)","(-51.90451431274414, 156.70840454101562, 46.395416259765625)","(-42.88386535644531, 170.10853576660156, 51.27268600463867)",POINT (0.3624534457921982 0.2035167068243027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
