,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,num-list.1,  .1,cond.1,-----------.1,    .1,nan.1,num-list.2,-----------.2,-----------.3,-----------.4,-----------.5,    .2,even.1,car.1,num-list.3,-----------.6,     .1,append.1,afunc.2,cdr.1,num-list.4,-----------.7,list.1,car.2,num-list.5,-----------.8,-----------.9,-----------.10,    .3,else.1,cons.1,car.3,num-list.6,afunc.3,cdr.2,num-list.7,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,26,27,2002143529,2164558606,1,1,"(0.2916994094848633, 0.11620505899190903)","(0.3008359670639038, 0.10169646143913269)",1,1,3.503570556640625,3.3192596435546875,"(-59.236270904541016, 4.149127006530762, 631.5548095703125)","(5.4228620529174805, 7.917057037353516, 629.0823364257812)","(-71.91305541992188, 179.40145874023438, 54.65505599975586)","(-68.74688720703125, 182.05902099609375, 55.622276306152344)",POINT (0.2962676882743835 0.1089507602155209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002160203,2164575279,1,1,"(0.2946988344192505, 0.11147470027208328)","(0.2942937910556793, 0.10708323121070862)",1,1,3.5059356689453125,3.318710327148437,"(-58.96319580078125, 4.475404739379883, 632.4005126953125)","(5.742056846618652, 8.183773040771484, 629.756103515625)","(-70.87362670898438, 180.26791381835938, 54.97038269042969)","(-71.01399230957031, 181.07232666015625, 55.263145446777344)",POINT (0.2944963127374649 0.109278965741396),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002176868,2164591944,1,1,"(0.29122695326805115, 0.09197869896888733)","(0.29038968682289124, 0.09521708637475967)",1,1,3.49609375,3.3125,"(-58.6158447265625, 4.912661552429199, 633.0703735351562)","(6.0884785652160645, 8.532465934753418, 630.0792846679688)","(-72.0767593383789, 183.8390350341797, 56.27014923095703)","(-72.36691284179688, 183.24586486816406, 56.05423355102539)",POINT (0.2908083200454712 0.0935978926718235),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002193537,2164608612,1,1,"(0.28928640484809875, 0.10864588618278503)","(0.30308419466018677, 0.10594597458839417)",1,1,3.4719390869140625,3.3050689697265625,"(-58.23374938964844, 5.488467216491699, 633.7346801757812)","(6.452791690826416, 9.006183624267578, 630.951416015625)","(-72.74923706054688, 180.78607177734375, 55.158992767333984)","(-67.9677963256836, 181.28062438964844, 55.338993072509766)",POINT (0.2961852997541428 0.1072959303855896),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002210204,2164625279,1,1,"(0.2855069637298584, 0.11910834163427353)","(0.29906097054481506, 0.08930253982543945)",1,1,3.488510131835937,3.310791015625,"(-57.839088439941406, 6.139564037322998, 634.5496215820312)","(6.845107078552246, 9.570061683654785, 631.7359619140625)","(-74.0589599609375, 178.86965942382812, 54.46147918701172)","(-69.36199188232422, 184.3292236328125, 56.4485969543457)",POINT (0.2922839671373367 0.1042054407298565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002226872,2164641946,1,1,"(0.3632170557975769, 0.10038170963525772)","(0.37814217805862427, 0.11603235453367233)",1,1,3.455184936523437,3.300811767578125,"(-57.24892044067383, 6.857471942901611, 635.1055908203125)","(7.371152400970459, 10.218782424926758, 632.6534423828125)","(-47.12957000732422, 182.2998504638672, 55.70994567871094)","(-41.95746612548828, 179.43310546875, 54.6665153503418)",POINT (0.3706796169281006 0.108207032084465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002243538,2164658612,1,1,"(0.38966014981269836, 0.12217999249696732)","(0.39855271577835083, 0.10418274253606796)",1,1,3.42694091796875,3.296615600585937,"(-56.75685119628906, 7.659988880157471, 635.8811645507812)","(7.873542308807373, 10.910710334777832, 633.5835571289062)","(-37.966068267822266, 178.30703735351562, 54.256629943847656)","(-34.88447189331055, 181.60360717773438, 55.456504821777344)",POINT (0.3941064327955246 0.1131813675165176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002260206,2164675279,1,1,"(0.41668233275413513, 0.12463894486427307)","(0.4184753894805908, 0.09320814162492752)",1,1,3.4487457275390625,3.2447662353515625,"(-56.367313385009766, 8.406050682067871, 636.7317504882812)","(8.261496543884277, 11.605193138122559, 634.2301025390625)","(-28.601890563964844, 177.8566131591797, 54.09274673461914)","(-27.98053550720215, 183.61383056640625, 56.188228607177734)",POINT (0.417578861117363 0.1089235432446003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002276873,2164691946,1,1,"(0.40807485580444336, 0.1363360434770584)","(0.423300176858902, 0.11258513480424881)",1,1,3.3773193359375,3.247406005859375,"(-56.103431701660156, 9.145145416259766, 637.3453369140625)","(8.519521713256836, 12.22248649597168, 634.9130249023438)","(-31.584693908691406, 175.7140350341797, 53.31291961669922)","(-26.308576583862305, 180.06451416015625, 54.8963623046875)",POINT (0.4156875163316727 0.1244605891406536),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002293547,2164708619,1,1,"(0.41832855343818665, 0.13370829820632935)","(0.42703792452812195, 0.10522862523794174)",1,1,3.3666534423828125,3.222320556640625,"(-55.89469909667969, 9.773326873779297, 637.8927001953125)","(8.7363920211792, 12.755220413208008, 635.2979736328125)","(-28.031421661376953, 176.1953582763672, 53.48810577392578)","(-25.0133113861084, 181.4120330810547, 55.38679885864258)",POINT (0.4226832389831543 0.1194684617221355),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
