,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,14,13,235743486385,2376273951,1,1,"(0.43950286507606506, 0.4194119870662689)","(0.4296504557132721, 0.37924906611442566)",1,1,3.38897705078125,3.8473968505859375,"(-24.17107391357422, -12.368209838867188, 657.3353271484375)","(40.79581069946289, -15.075836181640625, 655.8646850585938)","(-20.16034507751465, 129.08241271972656, 36.34038162231445)","(-23.59131622314453, 136.47515869140625, 39.03115463256836)",POINT (0.4345766603946686 0.3993305265903473),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743503052,2376290618,1,1,"(0.44994819164276123, 0.4266817271709442)","(0.42398178577423096, 0.3924243450164795)",1,1,3.406005859375,3.854660034179688,"(-24.287317276000977, -12.388137817382812, 657.314697265625)","(40.6660041809082, -15.070928573608398, 655.6058959960938)","(-16.522930145263672, 127.7442626953125, 35.85337829589844)","(-25.565353393554688, 134.05001831054688, 38.14844512939453)",POINT (0.4369649887084961 0.4095530360937118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743519718,2376307284,1,1,"(0.43621376156806946, 0.4109351634979248)","(0.4269501566886902, 0.38635408878326416)",1,1,3.378570556640625,3.845916748046875,"(-24.395122528076172, -12.409383773803711, 657.1990966796875)","(40.57680130004883, -15.062322616577148, 655.7601318359375)","(-21.305742263793945, 130.64273071289062, 36.90830612182617)","(-24.531658172607422, 135.1673583984375, 38.55510711669922)",POINT (0.4315819591283798 0.3986446261405945),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743536387,2376323952,1,1,"(0.4369502067565918, 0.4072539508342743)","(0.42362502217292786, 0.39597469568252563)",1,1,3.380035400390625,3.85186767578125,"(-24.514907836914062, -12.437582969665527, 657.1900024414062)","(40.447696685791016, -15.055828094482422, 655.572509765625)","(-21.049287796020508, 131.3203125, 37.15495681762695)","(-25.689592361450195, 133.396484375, 37.91061782836914)",POINT (0.4302876144647598 0.4016143232584),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743553053,2376340618,1,1,"(0.44729575514793396, 0.42019474506378174)","(0.42113804817199707, 0.3813494145870209)",1,1,3.3759307861328125,3.8478851318359375,"(-24.628738403320312, -12.458637237548828, 657.1814575195312)","(40.3475341796875, -15.045150756835938, 655.6085815429688)","(-17.446582794189453, 128.93832397460938, 36.2879524230957)","(-26.55564308166504, 136.08856201171875, 38.890445709228516)",POINT (0.4342169016599655 0.4007720798254013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743569720,2376357284,1,1,"(0.443358451128006, 0.4143669009208679)","(0.42232581973075867, 0.3844015598297119)",1,1,3.35546875,3.835235595703125,"(-24.747516632080078, -12.48046875, 657.0527954101562)","(40.2191162109375, -15.031469345092773, 655.4805908203125)","(-18.817720413208008, 130.01107788085938, 36.67835998535156)","(-26.14202117919922, 135.52674865722656, 38.6859245300293)",POINT (0.4328421354293823 0.3993842303752899),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743586388,2376373952,1,1,"(0.43560680747032166, 0.41270262002944946)","(0.421193391084671, 0.38791680335998535)",1,1,3.337921142578125,3.822280883789064,"(-24.863698959350586, -12.513669967651367, 657.1275634765625)","(40.11142349243164, -15.032039642333984, 655.5654296875)","(-21.517108917236328, 130.3173828125, 36.78990173339844)","(-26.536380767822266, 134.87969970703125, 38.45045852661133)",POINT (0.4284000992774963 0.4003097116947174),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743603060,2376390623,1,1,"(0.43823033571243286, 0.42164379358291626)","(0.4239101707935333, 0.3963265120983124)",1,1,3.3379058837890625,3.787933349609375,"(-24.976863861083984, -12.54250717163086, 657.1188354492188)","(39.99181365966797, -15.018434524536133, 655.4243774414062)","(-20.603500366210938, 128.671630859375, 36.19086456298828)","(-25.590295791625977, 133.33172607421875, 37.88704299926758)",POINT (0.4310702532529831 0.4089851528406143),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743619727,2376407290,1,1,"(0.4392533302307129, 0.4246417284011841)","(0.42638739943504333, 0.37905073165893555)",1,1,3.305419921875,3.783111572265625,"(-25.082786560058594, -12.5679292678833, 656.9793090820312)","(39.89397430419922, -15.01630687713623, 655.460205078125)","(-20.247264862060547, 128.1197967529297, 35.99002456665039)","(-24.727622985839844, 136.5116729736328, 39.04445266723633)",POINT (0.4328203648328781 0.4018462300300598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743636394,2376423956,1,1,"(0.45306408405303955, 0.41671550273895264)","(0.42928385734558105, 0.38011273741722107)",1,1,3.30035400390625,3.746780395507813,"(-25.192426681518555, -12.593134880065918, 657.0302734375)","(39.777503967285156, -15.00579833984375, 655.378662109375)","(-15.437870979309082, 129.57876586914062, 36.52104949951172)","(-23.71898651123047, 136.31619262695312, 38.973270416259766)",POINT (0.4411739706993103 0.3984141200780868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
