,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,59,12,335890078440,5551773163,1,1,"(0.24445156753063202, 0.22612906992435455)","(0.1954701542854309, 0.20353493094444275)",1,1,2.6372222900390625,2.418197631835937,"(-53.40930938720703, -25.47342300415039, 649.3592529296875)","(14.752008438110352, -24.80252456665039, 651.3651123046875)","(-89.91809844970703, 158.85284423828125, 47.17597579956055)","(-106.84241485595703, 162.9793701171875, 48.677894592285156)",POINT (0.2199608609080315 0.2148320004343986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890095107,5551789829,1,1,"(0.24908703565597534, 0.25290048122406006)","(0.2058047354221344, 0.22601021826267242)",1,1,2.608367919921875,2.432159423828125,"(-53.428009033203125, -25.479461669921875, 649.403564453125)","(14.733379364013672, -24.807842254638672, 651.553466796875)","(-88.3164291381836, 153.9634246826172, 45.39629364013672)","(-103.27155303955078, 158.87457275390625, 47.183815002441406)",POINT (0.2274458855390549 0.2394553497433662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890111774,5551806496,1,1,"(0.23564839363098145, 0.2394532859325409)","(0.2005191445350647, 0.23231801390647888)",1,1,2.622039794921875,2.4303741455078125,"(-53.42934036254883, -25.462350845336914, 649.45068359375)","(14.725326538085938, -24.787860870361328, 651.6475830078125)","(-92.9598159790039, 156.41937255859375, 46.29020690917969)","(-105.09786224365234, 157.7225341796875, 46.764522552490234)",POINT (0.2180837690830231 0.2358856499195099),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890128442,5551823163,1,1,"(0.2419467270374298, 0.23918505012989044)","(0.19816605746746063, 0.222354456782341)",1,1,2.623565673828125,2.4256591796875,"(-53.43693542480469, -25.461315155029297, 649.5438232421875)","(14.724567413330078, -24.788997650146484, 651.671142578125)","(-90.78358459472656, 156.46836853027344, 46.308013916015625)","(-105.9109115600586, 159.54226684570312, 47.426780700683594)",POINT (0.2200563922524452 0.2307697534561157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890145109,5551839830,1,1,"(0.2461179494857788, 0.2364719808101654)","(0.19960691034793854, 0.24579507112503052)",1,1,2.606307983398437,2.4160308837890625,"(-53.45016098022461, -25.437274932861328, 649.6595458984375)","(14.719032287597656, -24.755155563354492, 651.7647094726562)","(-89.34232330322266, 156.96385192871094, 46.48843002319336)","(-105.4130630493164, 155.26113891601562, 45.868614196777344)",POINT (0.2228624299168587 0.241133525967598),,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,59,12,335890161781,5551856501,1,1,"(0.23868218064308167, 0.21185936033725739)","(0.19863171875476837, 0.2503940463066101)",1,1,2.6035308837890625,2.4322509765625,"(-53.463233947753906, -25.431480407714844, 649.680908203125)","(14.708946228027344, -24.74226188659668, 651.764892578125)","(-91.91156768798828, 161.45904541015625, 48.12446975708008)","(-105.75001525878906, 154.4211883544922, 45.56291961669922)",POINT (0.218656949698925 0.2311267033219338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890178448,5551873168,1,1,"(0.24394996464252472, 0.22271141409873962)","(0.18623650074005127, 0.23048901557922363)",1,1,2.60028076171875,2.41705322265625,"(-53.48689651489258, -25.421173095703125, 649.7242431640625)","(14.692811965942383, -24.72492027282715, 651.7186279296875)","(-90.09141540527344, 159.47703552246094, 47.40315628051758)","(-110.03287506103516, 158.05657958984375, 46.88610076904297)",POINT (0.215093232691288 0.2266002148389816),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890195117,5551889835,1,1,"(0.23343782126903534, 0.24456600844860077)","(0.18414701521396637, 0.2039884477853775)",1,1,2.627685546875,2.42926025390625,"(-53.55659484863281, -25.41585922241211, 649.8074951171875)","(14.60810661315918, -24.714078903198242, 651.7698364257812)","(-93.72362518310547, 155.485595703125, 45.95035171508789)","(-110.75484466552734, 162.89657592773438, 48.64765548706055)",POINT (0.2087924182415008 0.2242772281169891),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890211783,5551906501,1,1,"(0.19503238797187805, 0.23546771705150604)","(0.14210771024227142, 0.2099544107913971)",1,1,2.575286865234375,2.4543609619140625,"(-53.68016815185547, -25.410289764404297, 650.1180419921875)","(14.46816635131836, -24.68875503540039, 651.8937377929688)","(-106.9936752319336, 157.14727783203125, 46.55515670776367)","(-125.28048706054688, 161.80694580078125, 48.25114059448242)",POINT (0.1685700491070747 0.2227110639214516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890228452,5551923169,1,1,"(0.17624923586845398, 0.21056915819644928)","(0.13712480664253235, 0.20330029726028442)",1,1,2.5988311767578125,2.4215850830078125,"(-53.736690521240234, -25.405548095703125, 649.82470703125)","(14.39526653289795, -24.672077178955078, 651.9671630859375)","(-113.48372650146484, 161.69468688964844, 48.21023178100586)","(-127.00220489501953, 163.02224731445312, 48.69342041015625)",POINT (0.1566870212554932 0.2069347277283668),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
