,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,13,21,407283332221,1440196638,1,1,"(0.42306673526763916, 0.1603054255247116)","(0.4361813962459564, 0.16019833087921143)",1,1,2.4394683837890625,2.467437744140625,"(-57.04851531982422, 0.3077564239501953, 577.72607421875)","(4.302075386047363, -5.872178554534912, 577.4824829101562)","(-28.202035903930664, 170.8746795654297, 51.55152130126953)","(-23.67059326171875, 170.8942413330078, 51.5585823059082)",POINT (0.4296240657567978 0.1602518782019615),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283348887,1440213304,1,1,"(0.42925119400024414, 0.16855667531490326)","(0.44032371044158936, 0.15856324136257172)",1,1,2.444183349609375,2.4637603759765625,"(-57.110233306884766, 0.280816912651062, 577.7431640625)","(4.2671942710876465, -5.885166168212891, 577.6213989257812)","(-26.06515121459961, 169.36769104003906, 51.0030403137207)","(-22.23932456970215, 171.19287109375, 51.667335510253906)",POINT (0.4347874522209168 0.1635599583387375),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283365555,1440229971,1,1,"(0.4251604676246643, 0.17343831062316895)","(0.4372839629650116, 0.15655440092086792)",1,1,2.450103759765625,2.47308349609375,"(-57.16529846191406, 0.26738977432250977, 577.7048950195312)","(4.233216285705566, -5.885163307189941, 577.7974243164062)","(-27.478618621826172, 168.4761505126953, 50.67851257324219)","(-23.289630889892578, 171.5597686767578, 51.80087661743164)",POINT (0.431222215294838 0.1649963557720184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283382227,1440246643,1,1,"(0.42480331659317017, 0.17481748759746552)","(0.43819811940193176, 0.16573981940746307)",1,1,2.464813232421875,2.4918212890625,"(-57.22047805786133, 0.2530103325843811, 577.6671752929688)","(4.182797908782959, -5.8805437088012695, 577.8163452148438)","(-27.602014541625977, 168.2242431640625, 50.58682632446289)","(-22.97376251220703, 169.88217163085938, 51.19023895263672)",POINT (0.431500717997551 0.1702786535024643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283398893,1440263309,1,1,"(0.42570480704307556, 0.17515656352043152)","(0.4396587014198303, 0.16828791797161102)",1,1,2.4566650390625,2.486419677734375,"(-57.286399841308594, 0.24005407094955444, 577.6834716796875)","(4.127921104431152, -5.868597030639648, 577.650634765625)","(-27.290525436401367, 168.16232299804688, 50.56428909301758)","(-22.469085693359375, 169.41677856445312, 51.020851135253906)",POINT (0.4326817542314529 0.1717222407460213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283415561,1440279976,1,1,"(0.42403310537338257, 0.17735271155834198)","(0.4395792484283447, 0.16769927740097046)",1,1,2.4648590087890625,2.474838256835937,"(-57.35987091064453, 0.2294510453939438, 577.6611938476562)","(4.076803207397461, -5.850116729736328, 577.5864868164062)","(-27.868144989013672, 167.76123046875, 50.41828536987305)","(-22.49656105041504, 169.52430725097656, 51.060020446777344)",POINT (0.4318061769008636 0.1725259944796562),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283432228,1440296643,1,1,"(0.4244277775287628, 0.17889715731143951)","(0.4365052878856659, 0.16143041849136353)",1,1,2.446441650390625,2.458724975585937,"(-57.441802978515625, 0.22080117464065552, 577.6840209960938)","(4.010695934295654, -5.825840473175049, 577.6886596679688)","(-27.731767654418945, 167.47915649414062, 50.315635681152344)","(-23.558671951293945, 170.66921997070312, 51.4766845703125)",POINT (0.4304665327072144 0.1701637879014015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283448896,1440313310,1,1,"(0.4245881140232086, 0.17193567752838135)","(0.4401126503944397, 0.16486075520515442)",1,1,2.443099975585937,2.4595489501953125,"(-57.524925231933594, 0.20839960873126984, 577.6318969726562)","(3.9249258041381836, -5.792624473571777, 577.513916015625)","(-27.67637062072754, 168.75057983398438, 50.77838897705078)","(-22.31224822998047, 170.042724609375, 51.24867248535156)",POINT (0.4323503822088242 0.1683982163667679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283465562,1440329976,1,1,"(0.4243740141391754, 0.18306194245815277)","(0.439603328704834, 0.1654316484928131)",1,1,2.44903564453125,2.4617919921875,"(-57.614288330078125, 0.19351842999458313, 577.6809692382812)","(3.8698229789733887, -5.766616344451904, 577.6895751953125)","(-27.75034523010254, 166.718505859375, 50.038780212402344)","(-22.488235473632812, 169.93844604492188, 51.210750579833984)",POINT (0.4319886714220047 0.1742467954754829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283482230,1440346643,1,1,"(0.3740655779838562, 0.1653008610010147)","(0.3802677392959595, 0.1495177149772644)",1,1,2.4605712890625,2.4806060791015625,"(-57.840999603271484, 0.17887307703495026, 577.7349853515625)","(3.6135799884796143, -5.704587936401367, 577.3880615234375)","(-45.1331787109375, 169.9623260498047, 51.21947479248047)","(-42.99018478393555, 172.8449249267578, 52.26859664916992)",POINT (0.3771666586399078 0.1574092879891396),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
