,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,20,16,177267876050,3434001890,1,1,"(0.4727955758571625, 0.12122000008821487)","(0.49389758706092834, 0.14550773799419403)",1,1,2.906951904296875,2.621490478515625,"(-54.198612213134766, -39.22370147705078, 724.1777954101562)","(8.160534858703613, -29.80592155456543, 722.4462890625)","(-11.019477844238281, 178.0131072998047, 54.14970779418945)","(-3.728203296661377, 173.57728576660156, 52.5351676940918)",POINT (0.4833465814590454 0.1333638690412044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267892716,3434018556,1,1,"(0.4671253263950348, 0.08832775056362152)","(0.4903319180011749, 0.17936941981315613)",1,1,2.865386962890625,2.657867431640625,"(-54.25022506713867, -39.266868591308594, 724.2286376953125)","(8.126697540283203, -29.835369110107422, 722.5194702148438)","(-12.978676795959473, 184.0204315185547, 56.33621597290039)","(-4.960226535797119, 167.39291381835938, 50.28422927856445)",POINT (0.4787286221981049 0.1338485851883888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267909384,3434035223,1,1,"(0.476724237203598, 0.1127697005867958)","(0.48303279280662537, 0.18741828203201294)",1,1,2.890853881835937,2.653427124023437,"(-54.30788803100586, -39.309486389160156, 724.2476806640625)","(8.098116874694824, -29.855684280395508, 722.490966796875)","(-9.662020683288574, 179.5564422607422, 54.71141815185547)","(-7.482252597808838, 165.9228973388672, 49.74918746948242)",POINT (0.4798785150051117 0.1500939913094044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177267926051,3434051890,1,1,"(0.4713079333305359, 0.11355471611022949)","(0.4825188219547272, 0.1932244449853897)",1,1,2.904205322265625,2.66314697265625,"(-54.38053894042969, -39.36697769165039, 724.3821411132812)","(8.065155029296875, -29.892288208007812, 722.6505126953125)","(-11.533491134643555, 179.41307067871094, 54.65923309326172)","(-7.659840106964111, 164.86245727539062, 49.36324691772461)",POINT (0.4769133776426315 0.1533895805478096),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177267942722,3434068560,1,1,"(0.4736102819442749, 0.14063803851604462)","(0.4869895875453949, 0.1798165738582611)",1,1,2.912338256835937,2.6602325439453125,"(-54.43418884277344, -39.40184783935547, 724.3145751953125)","(8.020674705505371, -29.931842803955078, 722.7960205078125)","(-10.737984657287598, 174.46669006347656, 52.85886764526367)","(-6.115081787109375, 167.31121826171875, 50.25453567504883)",POINT (0.4802999347448349 0.1602273061871529),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177267959389,3434085227,1,1,"(0.46865060925483704, 0.10647556185722351)","(0.48445388674736023, 0.17631696164608002)",1,1,2.8961334228515625,2.65850830078125,"(-54.4769287109375, -39.438053131103516, 724.3516845703125)","(7.994736194610596, -29.968318939208984, 722.8251953125)","(-12.451672554016113, 180.7060089111328, 55.129817962646484)","(-6.991232395172119, 167.95040893554688, 50.487125396728516)",POINT (0.4765522480010986 0.1413962617516518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177267976057,3434101894,1,1,"(0.4719695448875427, 0.10860659182071686)","(0.4887732267379761, 0.1593557745218277)",1,1,2.8811798095703125,2.6464996337890625,"(-54.524375915527344, -39.46315002441406, 724.461181640625)","(7.968245506286621, -29.989612579345703, 722.8399658203125)","(-11.304890632629395, 180.31678771972656, 54.98815155029297)","(-5.498782634735107, 171.04812622070312, 51.614627838134766)",POINT (0.4803713858127594 0.1339811831712723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267992724,3434118560,1,1,"(0.4755679666996002, 0.1100737527012825)","(0.4790467321872711, 0.16587622463703156)",1,1,2.8650360107421875,2.64892578125,"(-54.56092071533203, -39.46916198730469, 724.5870361328125)","(7.949894905090332, -29.98833656311035, 722.8837890625)","(-10.061543464660645, 180.048828125, 54.89063262939453)","(-8.859545707702637, 169.8572540283203, 51.18117904663086)",POINT (0.4773073494434357 0.137974988669157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177268009391,3434135227,1,1,"(0.46957507729530334, 0.11415763199329376)","(0.4797755479812622, 0.17018473148345947)",1,1,2.8956756591796875,2.6383056640625,"(-54.596038818359375, -39.484588623046875, 724.6551513671875)","(7.92183256149292, -29.994102478027344, 722.8843994140625)","(-12.132240295410156, 179.302978515625, 54.61914825439453)","(-8.607721328735352, 169.0703582763672, 50.89478302001953)",POINT (0.4746753126382828 0.1421711817383766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268026058,3434151893,1,1,"(0.4765661358833313, 0.14852026104927063)","(0.4928843379020691, 0.14553233981132507)",1,1,2.894195556640625,2.5747833251953125,"(-54.62935256958008, -39.45541000366211, 724.7073974609375)","(7.895286560058594, -29.94211196899414, 722.8418579101562)","(-9.716650009155273, 173.02706909179688, 52.334930419921875)","(-4.078299522399902, 173.57278442382812, 52.53354263305664)",POINT (0.4847252368927002 0.1470263004302978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
