,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,printFun.1,int.2,n.1,int.3,num.1,=.1,7.1,if.1,n.2,<=.1,0.1,printFun.2,num.2,-----------.2,return.1,return.2,0.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""""".1",-----------.10,printFun.3,int.4,-.1,2.1,-----------.12,std.2,cout.2,<<.3,n.4,<<.4,""""".2",-----------.18,-----------.19,question,code,choices
0,37,3,765982089282,1958915533,1,1,"(0.36470556259155273, 0.28507620096206665)","(0.351957768201828, 0.2436770647764206)",1,1,2.800262451171875,2.633773803710937,"(-100.61072540283203, 12.409478187561035, 646.88037109375)","(-31.3242130279541, 15.965700149536133, 651.8812255859375)","(-48.3673095703125, 148.08694458007812, 43.2574462890625)","(-52.77198791503906, 155.64796447753906, 46.00940704345703)",POINT (0.3583316653966904 0.2643766328692436),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982105948,1958932199,1,1,"(0.3716488778591156, 0.30925875902175903)","(0.3491165339946747, 0.2110692262649536)",1,1,2.8189697265625,2.6052703857421875,"(-100.8714370727539, 12.422163963317871, 647.1233520507812)","(-31.55992317199707, 16.02368927001953, 651.9417114257812)","(-45.968204498291016, 143.6703338623047, 41.649906158447266)","(-53.75371170043945, 161.6033477783203, 48.1770133972168)",POINT (0.3603827059268951 0.2601639926433563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982122616,1958948866,1,1,"(0.3716815710067749, 0.29819560050964355)","(0.35716113448143005, 0.2276175320148468)",1,1,2.782577514648437,2.647613525390625,"(-101.12725830078125, 12.443201065063477, 647.2843627929688)","(-31.80303192138672, 16.10175323486328, 652.02392578125)","(-45.9569206237793, 145.69085693359375, 42.385372161865234)","(-50.974090576171875, 158.58103942871094, 47.076934814453125)",POINT (0.3644213527441025 0.2629065662622452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982139283,1958965533,1,1,"(0.36993297934532166, 0.194839745759964)","(0.3395809233188629, 0.1350591778755188)",1,1,2.6608123779296875,2.530853271484375,"(-101.38169860839844, 12.512624740600586, 647.4813232421875)","(-32.05485534667969, 16.258594512939453, 652.1275634765625)","(-46.56109619140625, 164.56744384765625, 49.25586700439453)","(-57.04850387573242, 175.48556518554688, 53.22975158691406)",POINT (0.3547569513320923 0.1649494618177414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,37,3,765982155950,1958982199,1,1,"(0.36257535219192505, 0.30481985211372375)","(0.35665297508239746, 0.24237993359565735)",1,1,2.7843017578125,2.664093017578125,"(-101.68086242675781, 12.617228507995605, 647.78466796875)","(-32.32157897949219, 16.446653366088867, 652.2889404296875)","(-49.10335159301758, 144.48104858398438, 41.94499969482422)","(-51.14967346191406, 155.88485717773438, 46.09567642211914)",POINT (0.3596141636371612 0.2735998928546906),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982172617,1958998866,1,1,"(0.3652699589729309, 0.22638529539108276)","(0.351305216550827, 0.22163929045200348)",1,1,2.7055816650390625,2.6439666748046875,"(-101.97956848144531, 12.776087760925293, 648.1497192382812)","(-32.569122314453125, 16.700319290161133, 652.2398681640625)","(-48.172298431396484, 158.80609130859375, 47.15886688232422)","(-52.99745559692383, 159.6728515625, 47.47438430786133)",POINT (0.358287587761879 0.2240122929215431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,3,765982189285,1959015533,1,1,"(0.3624575436115265, 0.20156584680080414)","(0.3497972786426544, 0.22157058119773865)",1,1,2.668853759765625,2.63739013671875,"(-102.18583679199219, 12.967841148376465, 648.0689697265625)","(-32.81098937988281, 17.025320053100586, 652.3924560546875)","(-49.144046783447266, 163.33901977539062, 48.8087272644043)","(-53.51848602294922, 159.68540954589844, 47.47895812988281)",POINT (0.3561274111270904 0.2115682139992714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982205951,1959032199,1,1,"(0.36228254437446594, 0.16217420995235443)","(0.3503073453903198, 0.19768810272216797)",1,1,2.62066650390625,2.62420654296875,"(-102.40550231933594, 13.175323486328125, 648.16650390625)","(-33.02458572387695, 17.3433837890625, 652.3333740234375)","(-49.20451736450195, 170.53335571289062, 51.42730712890625)","(-53.34224319458008, 164.0472412109375, 49.066524505615234)",POINT (0.3562949448823929 0.1799311563372612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,37,3,765982222624,1959048871,1,1,"(0.35900798439979553, 0.1791480928659439)","(0.3489471673965454, 0.20671886205673218)",1,1,2.649398803710937,2.655258178710937,"(-102.63475036621094, 13.39000129699707, 648.16259765625)","(-33.27470779418945, 17.67251968383789, 652.235595703125)","(-50.335960388183594, 167.43331909179688, 50.2989501953125)","(-53.81223678588867, 162.3978729248047, 48.46620559692383)",POINT (0.3539775758981705 0.192933477461338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982239289,1959065536,1,1,"(0.3432982265949249, 0.15983054041862488)","(0.3284907341003418, 0.17730887234210968)",1,1,2.650177001953125,2.642425537109375,"(-102.83548736572266, 13.578506469726562, 648.3277587890625)","(-33.50942611694336, 17.947467803955078, 652.2340087890625)","(-55.76408386230469, 170.96141052246094, 51.58307647705078)","(-60.88043975830078, 167.76922607421875, 50.421207427978516)",POINT (0.3358944803476334 0.1685697063803673),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
