,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,22,6,332138491795,1800293598,1,1,"(0.48193085193634033, 0.04836408048868179)","(0.46582111716270447, 0.1158645823597908)",1,1,3.616043090820313,3.5712432861328125,"(-32.334800720214844, -86.43960571289062, 667.855712890625)","(29.326385498046875, -86.57135009765625, 668.47314453125)","(-7.863004207611084, 191.3192901611328, 58.99273681640625)","(-13.429322242736816, 178.99122619628906, 54.50566864013672)",POINT (0.4738759845495224 0.0821143314242363),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138508463,1800310265,1,1,"(0.47666338086128235, 0.054201845079660416)","(0.46698257327079773, 0.12321123480796814)",1,1,3.609710693359375,3.5882110595703125,"(-32.36040496826172, -86.46954345703125, 667.89013671875)","(29.29216766357422, -86.58320617675781, 668.4511108398438)","(-9.683043479919434, 190.25308227539062, 58.60470962524414)","(-13.028021812438965, 177.64944458007812, 54.017330169677734)",POINT (0.47182297706604 0.0887065399438143),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138525136,1800326938,1,1,"(0.4729667603969574, 0.033521171659231186)","(0.46351930499076843, 0.11973737180233002)",1,1,3.595809936523437,3.5712890625,"(-32.379459381103516, -86.50494384765625, 667.8755493164062)","(29.26811981201172, -86.61822509765625, 668.576416015625)","(-10.960315704345703, 194.0301513671875, 59.97940444946289)","(-14.22465991973877, 178.283935546875, 54.24819564819336)",POINT (0.4682430326938629 0.0766292717307806),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138541803,1800343604,1,1,"(0.4729435443878174, 0.04752850905060768)","(0.4661160707473755, 0.11651536077260971)",1,1,3.573104858398437,3.56634521484375,"(-32.38776779174805, -86.52627563476562, 667.9981689453125)","(29.2601318359375, -86.63811492919922, 668.7506103515625)","(-10.968338966369629, 191.47189331054688, 59.04828643798828)","(-13.327410697937012, 178.8723602294922, 54.46240997314453)",POINT (0.4695298075675964 0.0820219349116087),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138558470,1800360271,1,1,"(0.4727136194705963, 0.04578934609889984)","(0.46546581387519836, 0.12027394771575928)",1,1,3.556793212890625,3.553329467773437,"(-32.38481140136719, -86.56619262695312, 668.0968017578125)","(29.264019012451172, -86.67872619628906, 668.9124755859375)","(-11.0477933883667, 191.78953552246094, 59.16389083862305)","(-13.55208683013916, 178.18589782714844, 54.212589263916016)",POINT (0.4690897166728973 0.0830316469073296),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138575138,1800376938,1,1,"(0.5447487831115723, 0.05586981773376465)","(0.5308376550674438, 0.13987763226032257)",1,1,3.537811279296875,3.5594940185546875,"(-32.23229217529297, -86.60885620117188, 668.21142578125)","(29.38947296142578, -86.72294616699219, 669.174072265625)","(13.842182159423828, 189.94845581054688, 58.49378967285156)","(9.035524368286133, 174.6055450439453, 52.90943145751953)",POINT (0.5377932190895081 0.0978737249970436),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138591804,1800393604,1,1,"(0.5389974117279053, 0.07111645489931107)","(0.5265037417411804, 0.1443931758403778)",1,1,3.52520751953125,3.54296875,"(-32.20002746582031, -86.63452911376953, 668.21484375)","(29.408985137939453, -86.78642272949219, 669.322265625)","(11.854948043823242, 187.1638641357422, 57.480281829833984)","(7.538066864013672, 173.7808380126953, 52.60928726196289)",POINT (0.5327505767345428 0.1077548153698444),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138608472,1800410271,1,1,"(0.5331178307533264, 0.0768446996808052)","(0.5210532546043396, 0.14645326137542725)",1,1,3.517425537109375,3.5401153564453125,"(-32.19686508178711, -86.6443862915039, 668.3513793945312)","(29.432334899902344, -86.80519104003906, 669.4693603515625)","(9.82337760925293, 186.11767578125, 57.09954071044922)","(5.654778480529785, 173.40460205078125, 52.472293853759766)",POINT (0.527085542678833 0.1116489805281162),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138625138,1800426937,1,1,"(0.5372536182403564, 0.07187417149543762)","(0.5189967751502991, 0.14207711815834045)",1,1,3.519561767578125,3.531158447265625,"(-32.196434020996094, -86.65678405761719, 668.42578125)","(29.434185028076172, -86.8318099975586, 669.543701171875)","(11.252415657043457, 187.0254669189453, 57.4299201965332)","(4.944211483001709, 174.20384216308594, 52.76321029663086)",POINT (0.5281251966953278 0.106975644826889),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138641808,1800443606,1,1,"(0.5364288091659546, 0.06128833070397377)","(0.5258239507675171, 0.13450071215629578)",1,1,3.482696533203125,3.48699951171875,"(-32.19086456298828, -86.65788269042969, 668.5374755859375)","(29.447185516357422, -86.83937072753906, 669.678466796875)","(10.967409133911133, 188.9588623046875, 58.13357925415039)","(7.3031744956970215, 175.5875701904297, 53.26683807373047)",POINT (0.5311263799667358 0.0978945214301348),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138658475,1800460273,1,1,"(0.5323418378829956, 0.06899034976959229)","(0.5221318602561951, 0.15203602612018585)",1,1,3.4903564453125,3.5007476806640625,"(-32.200653076171875, -86.65702819824219, 668.6232299804688)","(29.44076156616211, -86.83714294433594, 669.6800537109375)","(9.555273056030273, 187.5521697998047, 57.62163543701172)","(6.027441024780273, 172.38497924804688, 52.101219177246094)",POINT (0.5272368490695953 0.1105131879448891),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138675143,1800476940,1,1,"(0.5365508198738098, 0.06064668297767639)","(0.5203924179077148, 0.15111909806728363)",1,1,3.453338623046875,3.4978790283203125,"(-32.214534759521484, -86.64802551269531, 668.696533203125)","(29.43621063232422, -86.85139465332031, 669.7796630859375)","(11.009566307067871, 189.07603454589844, 58.176265716552734)","(5.426421642303467, 172.55242919921875, 52.16217803955078)",POINT (0.5284716188907623 0.10588289052248),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138691809,1800493606,1,1,"(0.5381994843482971, 0.06781716644763947)","(0.5248175263404846, 0.15098480880260468)",1,1,3.4652099609375,3.48809814453125,"(-32.23514175415039, -86.617431640625, 668.755859375)","(29.428119659423828, -86.8530502319336, 669.8173828125)","(11.579239845275879, 187.76644897460938, 57.69960403442383)","(6.955424785614014, 172.57699584960938, 52.17106246948242)",POINT (0.5315085053443909 0.1094009876251221),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138708477,1800510273,1,1,"(0.5383248925209045, 0.0765187218785286)","(0.5213207006454468, 0.14365170896053314)",1,1,3.460968017578125,3.476898193359375,"(-32.26324462890625, -86.60283660888672, 668.8154296875)","(29.407163619995117, -86.86795043945312, 669.8564453125)","(11.622576713562012, 186.17723083496094, 57.12113952636719)","(5.747183799743652, 173.91627502441406, 52.658531188964844)",POINT (0.5298227965831757 0.1100852154195309),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138725144,1800526939,1,1,"(0.5429580807685852, 0.07833303511142731)","(0.5281243920326233, 0.14551761746406555)",1,1,3.451385498046875,3.484237670898437,"(-32.295047760009766, -86.59207153320312, 668.874755859375)","(29.37964630126953, -86.868408203125, 669.8963623046875)","(13.223443031311035, 185.84585571289062, 57.000572204589844)","(8.098040580749512, 173.57546997070312, 52.53452682495117)",POINT (0.5355412364006042 0.1119253262877464),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138741811,1800543606,1,1,"(0.5441586971282959, 0.06268610805273056)","(0.5238522291183472, 0.14092588424682617)",1,1,3.4307861328125,3.48193359375,"(-32.30911636352539, -86.60679626464844, 668.88525390625)","(29.361284255981445, -86.89214324951172, 669.93505859375)","(13.638296127319336, 188.7035675048828, 58.040679931640625)","(6.6218743324279785, 174.41407775878906, 52.83979415893555)",POINT (0.5340054631233215 0.1018059961497784),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138758479,1800560273,1,1,"(0.5463690161705017, 0.07263507694005966)","(0.5304520130157471, 0.14079542458057404)",1,1,3.454864501953125,3.46917724609375,"(-32.34099578857422, -86.62368774414062, 668.9566040039062)","(29.333240509033203, -86.9091796875, 670.0247802734375)","(14.40202808380127, 186.88650512695312, 57.379337310791016)","(8.902276992797852, 174.43792724609375, 52.84840774536133)",POINT (0.5384105145931244 0.1067152507603168),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138775150,1800576944,1,1,"(0.5429876446723938, 0.059302106499671936)","(0.5264458656311035, 0.13353580236434937)",1,1,3.431884765625,3.457763671875,"(-32.36398696899414, -86.65165710449219, 668.954345703125)","(29.305082321166992, -86.94021606445312, 670.126708984375)","(13.233659744262695, 189.3216094970703, 58.2656135559082)","(7.518052577972412, 175.76382446289062, 53.33098602294922)",POINT (0.5347167551517487 0.0964189544320106),,,,,,,,,,,,,,,,,,,,,,,,,,,,
