,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,55,10,838591605694,2542653359,1,1,"(0.4660021960735321, 0.2907086908817291)","(0.44527125358581543, 0.33951032161712646)",1,1,3.129486083984375,3.0379180908203125,"(-44.37715530395508, 23.57867431640625, 541.660888671875)","(13.212176322937012, 22.180431365966797, 538.8787231445312)","(-13.366765022277832, 147.05824279785156, 42.883056640625)","(-20.529821395874023, 138.14527893066406, 39.63897705078125)",POINT (0.4556367248296738 0.3151095062494278),,,,,,,,,,,1,
0,55,10,838591622362,2542670026,1,1,"(0.4703699052333832, 0.2964567542076111)","(0.4371627867221832, 0.33990493416786194)",1,1,3.118759155273437,3.020263671875,"(-44.34648895263672, 23.62468719482422, 541.451904296875)","(13.265979766845703, 22.219009399414062, 538.5384521484375)","(-11.857599258422852, 146.00843811035156, 42.500953674316406)","(-23.331499099731445, 138.07321166992188, 39.61273193359375)",POINT (0.4537663459777832 0.3181808441877365),,,,,,,,,,,1,
0,55,10,838591639029,2542686693,1,1,"(0.47105857729911804, 0.29285159707069397)","(0.4383273720741272, 0.34473174810409546)",1,1,3.1110992431640625,3.0403289794921875,"(-44.33909606933594, 23.665969848632812, 541.38671875)","(13.283069610595703, 22.27862548828125, 538.3286743164062)","(-11.619637489318848, 146.66688537597656, 42.740570068359375)","(-22.929109573364258, 137.191650390625, 39.29188537597656)",POINT (0.4546929746866226 0.3187916725873947),,,,,,,,,,,1,
0,55,10,838591655696,2542703359,1,1,"(0.4110718369483948, 0.25080031156539917)","(0.3944639563560486, 0.29420915246009827)",1,1,3.14251708984375,3.07135009765625,"(-44.516578674316406, 23.809207916259766, 541.2796630859375)","(13.083037376403809, 22.476301193237305, 538.2235107421875)","(-32.34658432006836, 154.34698486328125, 45.53593063354492)","(-38.085025787353516, 146.4189453125, 42.65032196044922)",POINT (0.4027678966522217 0.2725047320127487),,,,,,,,,,1,1,
0,55,10,838591672354,2542720017,1,1,"(0.4079853594303131, 0.22359062731266022)","(0.3850080668926239, 0.2756272554397583)",1,1,3.1353912353515625,3.0433349609375,"(-44.59016799926758, 23.916847229003906, 541.3173217773438)","(12.961185455322266, 22.647441864013672, 538.2918701171875)","(-33.41303634643555, 159.3164825439453, 47.34465789794922)","(-41.3522834777832, 149.8126678466797, 43.88557815551758)",POINT (0.3964967131614685 0.2496089413762093),,,,,,,,,,1,1,
0,55,10,838591689036,2542736698,1,1,"(0.40210041403770447, 0.23034082353115082)","(0.37933874130249023, 0.2722740173339844)",1,1,3.145965576171875,3.0395660400390625,"(-44.599342346191406, 23.970420837402344, 541.00537109375)","(12.942819595336914, 22.708194732666016, 538.0355224609375)","(-35.446434020996094, 158.08363342285156, 46.89598083496094)","(-43.3111686706543, 150.42510986328125, 44.10844802856445)",POINT (0.3907195776700974 0.2513074204325676),,,,,,,,,,1,1,
0,55,10,838591705694,2542753356,1,1,"(0.4076814353466034, 0.22546640038490295)","(0.3790700137615204, 0.2642173767089844)",1,1,3.1432037353515625,3.035858154296875,"(-44.66905975341797, 24.022594451904297, 541.0607299804688)","(12.91275405883789, 22.78445053100586, 537.8597412109375)","(-33.51805114746094, 158.97389221191406, 47.219974517822266)","(-43.404014587402344, 151.8965301513672, 44.64405822753906)",POINT (0.3933757245540619 0.2448418885469437),,,,,,,,,,,1,
0,55,10,838591722361,2542770022,1,1,"(0.4033110439777374, 0.22150883078575134)","(0.37915048003196716, 0.269491583108902)",1,1,3.13372802734375,3.039825439453125,"(-44.709197998046875, 24.053518295288086, 540.8573608398438)","(12.875091552734375, 22.870391845703125, 537.8130493164062)","(-35.02814483642578, 159.6967010498047, 47.48301696777344)","(-43.37622833251953, 150.9332733154297, 44.293434143066406)",POINT (0.3912307620048523 0.2455002069473267),,,,,,,,,,1,1,
0,55,10,838591739037,2542786698,1,1,"(0.4075055420398712, 0.22433605790138245)","(0.3838493227958679, 0.2638942301273346)",1,1,3.12591552734375,3.040313720703125,"(-44.78046417236328, 24.096446990966797, 540.7655029296875)","(12.827138900756836, 22.945117950439453, 537.9112548828125)","(-33.578826904296875, 159.1803436279297, 47.29508590698242)","(-41.75265121459961, 151.95555114746094, 44.665523529052734)",POINT (0.3956774324178696 0.2441151440143585),,,,,,,,,,,1,
0,55,10,838591755704,2542803364,1,1,"(0.40624046325683594, 0.22596736252307892)","(0.3850224018096924, 0.2683713436126709)",1,1,3.12017822265625,3.041748046875,"(-44.85143280029297, 24.118457794189453, 540.6577758789062)","(12.755300521850586, 22.99725341796875, 537.6406860351562)","(-34.01594543457031, 158.8824005126953, 47.18667221069336)","(-41.347328186035156, 151.13787841796875, 44.367889404296875)",POINT (0.3956314325332642 0.2471693530678749),,,,,,,,,,1,1,
