,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,56,26,60061654239,1837928176,1,1,"(0.4095434844493866, 0.18485988676548004)","(0.4267352521419525, 0.24731145799160004)",1,1,2.469955444335937,2.8492431640625,"(-39.2941780090332, 57.14775848388672, 650.8211669921875)","(28.33476448059082, 55.0941276550293, 651.8602294921875)","(-32.87466049194336, 166.39012145996094, 49.91929626464844)","(-26.934476852416992, 154.98419189453125, 45.7678108215332)",POINT (0.4181393682956696 0.21608567237854),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061670909,1837944846,1,1,"(0.411763072013855, 0.1708921641111374)","(0.4355676472187042, 0.24531352519989014)",1,1,2.467529296875,2.861968994140625,"(-39.39262390136719, 56.801673889160156, 650.5030517578125)","(28.214672088623047, 54.79194259643555, 651.563232421875)","(-32.10773849487305, 168.941162109375, 50.847740173339844)","(-23.882659912109375, 155.34909057617188, 45.900611877441406)",POINT (0.4236653596162796 0.2081028446555138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061687576,1837961512,1,1,"(0.4043758511543274, 0.16821856796741486)","(0.431608647108078, 0.25738781690597534)",1,1,2.4736328125,2.888214111328125,"(-39.50993728637695, 56.469329833984375, 650.4429931640625)","(28.119640350341797, 54.49200439453125, 651.28955078125)","(-34.660221099853516, 169.42945861816406, 51.02546691894531)","(-25.25058937072754, 153.1438446044922, 45.09808349609375)",POINT (0.4179922491312027 0.2128031924366951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061704243,1837978179,1,1,"(0.4124586582183838, 0.15966831147670746)","(0.43178433179855347, 0.2243276834487915)",1,1,2.49322509765625,2.8531494140625,"(-39.605464935302734, 56.12097930908203, 650.0789794921875)","(28.02231216430664, 54.16236114501953, 650.7586669921875)","(-31.867399215698242, 170.9910430908203, 51.5938606262207)","(-25.189889907836914, 159.181884765625, 47.29561233520508)",POINT (0.4221214950084686 0.1919979974627495),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061720911,1837994846,1,1,"(0.42167890071868896, 0.19941256940364838)","(0.42866262793540955, 0.22290964424610138)",1,1,2.5321502685546875,2.881088256835937,"(-39.690338134765625, 55.830787658691406, 649.622314453125)","(27.951778411865234, 53.883995056152344, 650.5523681640625)","(-28.681581497192383, 163.73228454589844, 48.951866149902344)","(-26.268524169921875, 159.44085693359375, 47.389915466308594)",POINT (0.4251707643270493 0.2111611068248749),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061737577,1838011512,1,1,"(0.4143083393573761, 0.18428783118724823)","(0.4301730990409851, 0.22549478709697723)",1,1,2.519256591796875,2.902084350585937,"(-39.75392150878906, 55.57857894897461, 649.3811645507812)","(27.86196517944336, 53.63108825683594, 650.044677734375)","(-31.228282928466797, 166.49462890625, 49.957252502441406)","(-25.746604919433594, 158.96871948242188, 47.21805191040039)",POINT (0.4222407191991806 0.2048913091421127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061754245,1838028179,1,1,"(0.4220464825630188, 0.15697616338729858)","(0.4353927671909332, 0.2646995186805725)",1,1,2.5249786376953125,2.926254272460937,"(-39.80644226074219, 55.36522674560547, 648.975830078125)","(27.800941467285156, 53.44731521606445, 649.6746826171875)","(-28.55455780029297, 171.48272705078125, 51.772823333740234)","(-23.943077087402344, 151.80848693847656, 44.61196517944336)",POINT (0.428719624876976 0.2108378410339356),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061770912,1838044846,1,1,"(0.42028579115867615, 0.1807924062013626)","(0.4272308349609375, 0.2315887063741684)",1,1,2.537445068359375,2.916961669921875,"(-39.83512878417969, 55.243682861328125, 648.762939453125)","(27.77939224243164, 53.32776641845703, 649.5833740234375)","(-29.162933349609375, 167.1330108642578, 50.189632415771484)","(-26.76325225830078, 157.85572814941406, 46.81301498413086)",POINT (0.4237583130598068 0.2061905562877655),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061787579,1838061512,1,1,"(0.4119887948036194, 0.15953519940376282)","(0.4266498386859894, 0.24859145283699036)",1,1,2.5598297119140625,2.946807861328125,"(-39.88536834716797, 55.20470428466797, 648.8243408203125)","(27.748382568359375, 53.272682189941406, 649.4453125)","(-32.02975845336914, 171.01535034179688, 51.602718353271484)","(-26.963991165161133, 154.7504119873047, 45.6827392578125)",POINT (0.4193193167448044 0.2040633261203766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061804251,1838078184,1,1,"(0.421353816986084, 0.17237140238285065)","(0.4332079589366913, 0.23884141445159912)",1,1,2.58087158203125,2.9593505859375,"(-39.916107177734375, 55.21543502807617, 648.5402221679688)","(27.70562744140625, 53.277099609375, 649.2388305664062)","(-28.793895721435547, 168.6709747314453, 50.749473571777344)","(-24.697998046875, 156.53111267089844, 46.33090591430664)",POINT (0.4272808879613876 0.2056064084172249),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
