,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,13,5,408074532966,2231374209,1,1,"(0.46630972623825073, 0.1728421002626419)","(0.48341503739356995, 0.18656158447265625)",1,1,2.2904815673828125,2.2948760986328125,"(-49.9637451171875, 30.729820251464844, 530.1533813476562)","(11.597363471984863, 26.33248519897461, 530.6295166015625)","(-13.260496139526367, 168.58502197265625, 50.718162536621094)","(-7.3501691818237305, 166.079345703125, 49.8061408996582)",POINT (0.4748623818159103 0.1797018423676491),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074549633,2231390876,1,1,"(0.4747500717639923, 0.17232540249824524)","(0.48511698842048645, 0.1917748600244522)",1,1,2.278594970703125,2.295806884765625,"(-50.00914001464844, 30.695470809936523, 530.1376953125)","(11.577962875366211, 26.316652297973633, 530.552001953125)","(-10.344138145446777, 168.67938232421875, 50.75248336791992)","(-6.762120246887207, 165.12721252441406, 49.459598541259766)",POINT (0.4799335300922394 0.1820501312613487),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074566301,2231407543,1,1,"(0.4709932208061218, 0.18154188990592957)","(0.48635274171829224, 0.19184927642345428)",1,1,2.298828125,2.3009796142578125,"(-50.05131149291992, 30.66766929626465, 530.1539306640625)","(11.546485900878906, 26.284610748291016, 530.4512939453125)","(-11.642234802246094, 166.99612426757812, 50.139801025390625)","(-6.335122585296631, 165.11361694335938, 49.454647064208984)",POINT (0.478672981262207 0.1866955831646919),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074582972,2231424214,1,1,"(0.47085198760032654, 0.17593854665756226)","(0.48567700386047363, 0.19057074189186096)",1,1,2.30035400390625,2.287811279296875,"(-50.0970344543457, 30.60287094116211, 530.1083984375)","(11.510040283203125, 26.24594497680664, 530.3983154296875)","(-11.691030502319336, 168.01951599121094, 50.512298583984375)","(-6.568617343902588, 165.3471221923828, 49.53964614868164)",POINT (0.4782644957304001 0.1832546442747116),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074599639,2231440880,1,1,"(0.4716402590274811, 0.16983269155025482)","(0.4865158200263977, 0.1880352944135666)",1,1,2.2771453857421875,2.2869415283203125,"(-50.13070297241211, 30.52349853515625, 530.0331420898438)","(11.473153114318848, 26.205039978027344, 530.4387817382812)","(-11.418649673461914, 169.1346435546875, 50.918190002441406)","(-6.278778553009033, 165.8101806640625, 49.70819091796875)",POINT (0.4790780395269394 0.1789339929819107),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074616306,2231457547,1,1,"(0.47216278314590454, 0.17822293937206268)","(0.4861530065536499, 0.18733619153499603)",1,1,2.27996826171875,2.27880859375,"(-50.17128372192383, 30.481861114501953, 530.0245361328125)","(11.435632705688477, 26.178146362304688, 530.4473876953125)","(-11.238112449645996, 167.602294921875, 50.360450744628906)","(-6.404143333435059, 165.9378662109375, 49.75465774536133)",POINT (0.4791578948497772 0.1827795654535294),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074632974,2231474214,1,1,"(0.4698035418987274, 0.17829477787017822)","(0.48623213171958923, 0.1869831532239914)",1,1,2.279769897460937,2.2706298828125,"(-50.197021484375, 30.437786102294922, 529.998291015625)","(11.417174339294434, 26.168867111206055, 530.4713134765625)","(-12.053292274475098, 167.58917236328125, 50.355648040771484)","(-6.376814365386963, 166.00234985351562, 49.77812576293945)",POINT (0.4780178368091583 0.1826389655470848),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074649640,2231490880,1,1,"(0.5296860933303833, 0.18351618945598602)","(0.5382038950920105, 0.19112084805965424)",1,1,2.257598876953125,2.27435302734375,"(-50.04225158691406, 30.408876419067383, 530.0076293945312)","(11.557781219482422, 26.175296783447266, 530.5980224609375)","(8.637630462646484, 166.6355438232422, 50.00860595703125)","(11.580765724182129, 165.24664306640625, 49.503082275390625)",POINT (0.5339449942111969 0.1873185187578201),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074666308,2231507547,1,1,"(0.5371038317680359, 0.17507518827915192)","(0.550512433052063, 0.19439008831977844)",1,1,2.2600860595703125,2.259368896484375,"(-49.954280853271484, 30.37715721130371, 529.9346313476562)","(11.587187767028809, 26.197540283203125, 531.09716796875)","(11.200634002685547, 168.17718505859375, 50.569698333740234)","(15.83366870880127, 164.64956665039062, 49.28573989868164)",POINT (0.5438081324100494 0.1847326382994652),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074682975,2231524214,1,1,"(0.5396037697792053, 0.17846344411373138)","(0.5459566116333008, 0.1915537714958191)",1,1,2.273468017578125,2.2833404541015625,"(-49.99718475341797, 30.346553802490234, 530.01513671875)","(11.588979721069336, 26.18177032470703, 531.0428466796875)","(12.064436912536621, 167.55836486816406, 50.344459533691406)","(14.25951862335205, 165.1676025390625, 49.47427749633789)",POINT (0.542780190706253 0.1850086078047752),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
