,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,-----------.1,afunc.1,int.1,-----------.2,year1.1,-----------.3,int.2,month1.1,int.3,day1.1,int.4,year2.1,int.5,month2.1,int.6,day2.1,-----------.4,if.1,year1.2,<.1,year2.2,return.1,true.1,-----------.6,else.1,if.2,year1.3,>.1,year2.3,return.2,false.1,-----------.8,else.2,if.3,month1.2,<.2,month2.2,-----------.10,return.3,true.2,-----------.11,else.3,if.4,month1.3,>.2,month2.3,return.4,false.2,-----------.13,else.4,return.5,day1.2,>.3,day2.2,-----------.15,-----------.16,-----------.17,question,code,choices
0,36,23,344018507415,2833872336,1,1,"(0.4554390609264374, 0.27632421255111694)","(0.44651198387145996, 0.2967948913574219)",1,1,2.414703369140625,2.37152099609375,"(-94.86608123779297, 8.08556842803955, 463.55999755859375)","(-34.04466247558594, 11.87454605102539, 475.25146484375)","(-17.016582489013672, 149.6853790283203, 43.839256286621094)","(-20.10112190246582, 145.9467010498047, 42.478424072265625)",POINT (0.4509755223989487 0.2865595519542694),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018524082,2833889002,1,1,"(0.4508190453052521, 0.2851416766643524)","(0.44452521204948425, 0.2899215817451477)",1,1,2.408920288085937,2.36328125,"(-94.91573333740234, 8.082433700561523, 463.6991271972656)","(-34.09246063232422, 11.859598159790039, 475.24676513671875)","(-18.612913131713867, 148.07498168945312, 43.25313186645508)","(-20.78759002685547, 147.20199584960938, 42.93537902832031)",POINT (0.4476721286773682 0.2875316292047501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018540749,2833905669,1,1,"(0.4310484230518341, 0.27601534128189087)","(0.4401419162750244, 0.29339146614074707)",1,1,2.422698974609375,2.3240203857421875,"(-94.777587890625, 8.077653884887695, 463.09820556640625)","(-34.12535858154297, 11.881231307983398, 475.33135986328125)","(-25.444169998168945, 149.74179077148438, 43.859779357910156)","(-22.302143096923828, 146.56826782226562, 42.704715728759766)",POINT (0.4355951696634293 0.284703403711319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018574083,2833939002,1,1,"(0.42228445410728455, 0.23834282159805298)","(0.41611042618751526, 0.25084513425827026)",1,1,2.37579345703125,2.360458374023437,"(-95.03413391113281, 8.170928955078125, 463.60040283203125)","(-34.27777862548828, 11.988161087036133, 475.40374755859375)","(-28.472341537475586, 156.62217712402344, 46.364036560058594)","(-30.605621337890625, 154.3387908935547, 45.53297424316406)",POINT (0.4191974401473999 0.2445939779281616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018590751,2833955669,1,1,"(0.3555234372615814, 0.15772093832492828)","(0.36386731266975403, 0.22524967789649963)",1,1,2.364974975585937,2.41912841796875,"(-95.29688262939453, 8.239633560180664, 463.6618957519531)","(-34.64143371582031, 12.138243675231934, 475.6542053222656)","(-51.539955139160156, 171.34669494628906, 51.72334289550781)","(-48.65693664550781, 159.0134735107422, 47.234375)",POINT (0.3596953749656677 0.191485308110714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018607418,2833972336,1,1,"(0.34067291021347046, 0.22748486697673798)","(0.3469400107860565, 0.2246016263961792)",1,1,2.45306396484375,2.424301147460937,"(-95.38624572753906, 8.33779525756836, 463.78125)","(-34.76465606689453, 12.213257789611816, 475.5903625488281)","(-56.67119598388672, 158.60523986816406, 47.085819244384766)","(-54.50575256347656, 159.13182067871094, 47.27748489379883)",POINT (0.3438064604997635 0.2260432466864586),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,23,344018624092,2833989009,1,1,"(0.3527070879936218, 0.1982945054769516)","(0.3470122516155243, 0.22296687960624695)",1,1,2.3817901611328125,2.3936004638671875,"(-95.42263793945312, 8.319799423217773, 463.87188720703125)","(-34.773834228515625, 12.206771850585938, 475.65313720703125)","(-52.51308059692383, 163.9364776611328, 49.026214599609375)","(-54.48078536987305, 159.43038940429688, 47.38614273071289)",POINT (0.3498596698045731 0.2106306925415993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018640759,2834005676,1,1,"(0.3604884445667267, 0.21221984922885895)","(0.3451809585094452, 0.22140125930309296)",1,1,2.3755645751953125,2.418441772460937,"(-95.50944519042969, 8.332024574279785, 464.0238342285156)","(-34.81053161621094, 12.239755630493164, 475.6982421875)","(-49.824424743652344, 161.39320373535156, 48.10051345825195)","(-55.113548278808594, 159.71633911132812, 47.49020004272461)",POINT (0.3528347015380859 0.216810554265976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,23,344018657427,2834022343,1,1,"(0.365239679813385, 0.18979093432426453)","(0.35662585496902466, 0.2193068116903305)",1,1,2.385238647460937,2.4097137451171875,"(-95.55461120605469, 8.3304443359375, 464.08599853515625)","(-34.90058135986328, 12.265880584716797, 476.05682373046875)","(-48.18275833129883, 165.48951721191406, 49.591548919677734)","(-51.15904998779297, 160.09886169433594, 47.629425048828125)",POINT (0.3609327673912048 0.2045488730072975),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018674093,2834039009,1,1,"(0.3501732349395752, 0.2056274712085724)","(0.33676761388778687, 0.20830433070659637)",1,1,2.426300048828125,2.4078826904296875,"(-95.57832336425781, 8.347805976867676, 464.1182861328125)","(-34.90978240966797, 12.284516334533691, 475.92840576171875)","(-53.388587951660156, 162.5972137451172, 48.53874206542969)","(-58.02056884765625, 162.1083221435547, 48.360801696777344)",POINT (0.343470424413681 0.2069659009575844),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
