,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,input3.1,input4.1,input5.1,  .1,cond.1,-----------.1,    .1,and.1,>.1,input1.2,21.1,>=.1,input4.2,110.1,>=.2,input5.2,56.1,-----------.3,-----------.4,    .2,and.2,or.1,=.1,input1.3,17.1,nan.7,=.2,input1.4,21.2,-----------.8,>=.3,input2.2,3.1,=.3,input4.3,110.2,>=.4,input5.3,56.2,-----------.9,-----------.10,    .3,and.3,or.2,-----------.11,input1.5,17.2,-----------.13,=.4,input1.6,21.3,-----------.14,-----------.15,input2.3,2.1,=.5,input3.2,156.1,>=.5,input4.4,11.1,>=.6,input5.4,1054.1,-----------.16,-----------.17,    .4,and.4,or.3,-----------.18,input1.7,17.3,-----------.20,=.6,input1.8,21.4,-----------.21,-----------.22,input2.4,2.2,=.7,input3.3,156.2,>=.7,input4.5,9.1,>=.8,input5.5,1054.2,-----------.23,    .5,else.1,-----------.24,-----------.25,question,code,choices
0,25,28,248970275017,465830437,1,1,"(0.2738665044307709, 0.17599594593048096)","(0.30656054615974426, 0.222228541970253)",1,1,3.462142944335937,3.0663299560546875,"(-29.815523147583008, -23.779979705810547, 652.2215576171875)","(40.01326370239258, -20.603315353393555, 652.5767822265625)","(-79.7544937133789, 168.00900268554688, 50.50849151611328)","(-68.45787048339844, 159.56524658203125, 47.435211181640625)",POINT (0.2902135252952576 0.199112243950367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,28,248970291685,465847104,1,1,"(0.2758346199989319, 0.16661860048770905)","(0.3041601777076721, 0.22289666533470154)",1,1,3.46588134765625,3.04364013671875,"(-29.76358985900879, -23.754440307617188, 652.132080078125)","(40.08665466308594, -20.592885971069336, 652.4608154296875)","(-79.074462890625, 169.7216796875, 51.13182067871094)","(-69.2872543334961, 159.44322204589844, 47.390750885009766)",POINT (0.289997398853302 0.1947576329112053),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,28,248970308350,465863770,1,1,"(0.2758072316646576, 0.16081905364990234)","(0.29550880193710327, 0.18618738651275635)",1,1,3.461517333984375,2.9913482666015625,"(-29.69805145263672, -23.74228858947754, 652.326904296875)","(40.18701934814453, -20.5916690826416, 652.4845581054688)","(-79.08393096923828, 170.78086853027344, 51.51736068725586)","(-72.27653503417969, 166.14767456054688, 49.8310432434082)",POINT (0.2856580168008804 0.1735032200813294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,28,248970325018,465880437,1,1,"(0.27813029289245605, 0.16459298133850098)","(0.30771708488464355, 0.2705669701099396)",1,1,3.4466705322265625,3.12164306640625,"(-29.608688354492188, -23.728605270385742, 652.0281982421875)","(40.265235900878906, -20.592304229736328, 652.3919067382812)","(-78.28125, 170.09161376953125, 51.26649856567383)","(-68.05825805664062, 150.7368621826172, 44.22195053100586)",POINT (0.2929236888885498 0.2175799757242203),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970341685,465897104,1,1,"(0.278817743062973, 0.16914136707782745)","(0.29941344261169434, 0.23047953844070435)",1,1,3.454315185546875,3.0636138916015625,"(-29.537113189697266, -23.72848892211914, 652.022705078125)","(40.34846496582031, -20.594560623168945, 652.239990234375)","(-78.04370880126953, 169.2609100341797, 50.9641227722168)","(-70.92737579345703, 158.05831909179688, 46.88673400878906)",POINT (0.2891155928373337 0.1998104527592659),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,28,248970358352,465913771,1,1,"(0.280839204788208, 0.1666835993528366)","(0.30174022912979126, 0.1851859837770462)",1,1,3.450424194335937,3.001678466796875,"(-29.464481353759766, -23.741836547851562, 652.1476440429688)","(40.44115447998047, -20.606416702270508, 652.4298706054688)","(-77.34524536132812, 169.70977783203125, 51.12754821777344)","(-70.12340545654297, 166.33056640625, 49.89756393432617)",POINT (0.2912897169589996 0.1759347915649414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,28,248970375020,465930438,1,1,"(0.2804216146469116, 0.17000903189182281)","(0.2958950996398926, 0.23057888448238373)",1,1,3.4596405029296875,3.0471954345703125,"(-29.38797950744629, -23.73914337158203, 651.9892578125)","(40.50875473022461, -20.605329513549805, 652.2556762695312)","(-77.48954010009766, 169.10243225097656, 50.906497955322266)","(-72.14305877685547, 158.04017639160156, 46.8801155090332)",POINT (0.2881583571434021 0.2002939581871033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,28,248970391685,465947104,1,1,"(0.28147801756858826, 0.1668320894241333)","(0.29757294058799744, 0.23008660972118378)",1,1,3.4386138916015625,3.042449951171875,"(-29.334354400634766, -23.728160858154297, 651.9588623046875)","(40.56927490234375, -20.59314727783203, 652.2720336914062)","(-77.1245346069336, 169.68267822265625, 51.11766052246094)","(-71.56331634521484, 158.1300811767578, 46.9128303527832)",POINT (0.2895254790782928 0.1984593495726585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,28,248970408358,465963776,1,1,"(0.2776990532875061, 0.1647685468196869)","(0.29931366443634033, 0.14658041298389435)",1,1,3.441314697265625,2.960968017578125,"(-29.2857608795166, -23.71471405029297, 652.0811767578125)","(40.63435363769531, -20.57619857788086, 652.4300537109375)","(-78.43025970458984, 170.0595703125, 51.25481414794922)","(-70.96186828613281, 173.38137817382812, 52.4638671875)",POINT (0.2885063588619232 0.1556744799017906),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,25,28,248970425026,465980444,1,1,"(0.21861693263053894, 0.1554831713438034)","(0.2564031779766083, 0.21191205084323883)",1,1,3.4362335205078125,3.0432281494140625,"(-29.374237060546875, -23.679340362548828, 652.06103515625)","(40.489112854003906, -20.522586822509766, 652.317626953125)","(-98.84461975097656, 171.75540161132812, 51.87205123901367)","(-85.78852081298828, 161.44943237304688, 48.120967864990234)",POINT (0.2375100553035736 0.1836976110935211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
