,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,56,22,58998051954,774357580,1,1,"(0.3689233362674713, 0.09323390573263168)","(0.3879104256629944, 0.11160299181938171)",1,1,2.5389404296875,2.8817138671875,"(-40.20273208618164, 64.32554626464844, 605.4524536132812)","(27.5637264251709, 61.96197509765625, 607.4735107421875)","(-46.909969329833984, 183.12442016601562, 56.01002502441406)","(-40.34943389892578, 179.76953125, 54.78898239135742)",POINT (0.3784168809652328 0.1024184487760067),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998068621,774374247,1,1,"(0.33342063426971436, 0.07558190822601318)","(0.3598608076572418, 0.1264667958021164)",1,1,2.532089233398437,2.895477294921875,"(-40.45783233642578, 64.50650024414062, 605.73681640625)","(27.279132843017578, 62.19689178466797, 607.63916015625)","(-59.177040100097656, 186.3483123779297, 57.183433532714844)","(-50.041290283203125, 177.05487060546875, 53.80089569091797)",POINT (0.3466407209634781 0.1010243520140648),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998085294,774390919,1,1,"(0.3242814242839813, 0.08526542037725449)","(0.3424900770187378, 0.11836010217666626)",1,1,2.5428009033203125,2.884552001953125,"(-40.69268798828125, 64.70946502685547, 605.90966796875)","(27.009029388427734, 62.46870422363281, 608.0187377929688)","(-62.334877014160156, 184.57974243164062, 56.53974151611328)","(-56.04331588745117, 178.5354461669922, 54.33979034423828)",POINT (0.3333857506513596 0.1018127612769604),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998101960,774407585,1,1,"(0.331245481967926, 0.08339763432741165)","(0.35546430945396423, 0.1238970085978508)",1,1,2.5269012451171875,2.8896026611328125,"(-40.8924560546875, 64.92141723632812, 606.1085205078125)","(26.823617935180664, 62.70165252685547, 608.2077026367188)","(-59.9286003112793, 184.92088317871094, 56.66389083862305)","(-51.56039810180664, 177.52420043945312, 53.971702575683594)",POINT (0.3433548957109451 0.1036473214626312),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998118628,774424252,1,1,"(0.3323071599006653, 0.07785165309906006)","(0.3497651517391205, 0.11702865362167358)",1,1,2.5508575439453125,2.8851776123046875,"(-41.10050582885742, 65.09288024902344, 606.2884521484375)","(26.611679077148438, 62.92656707763672, 608.4290771484375)","(-59.561771392822266, 185.9337615966797, 57.032562255859375)","(-53.52960205078125, 178.7786102294922, 54.42831802368164)",POINT (0.3410361558198929 0.0974401533603668),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998135294,774440918,1,1,"(0.3262414336204529, 0.07350258529186249)","(0.3500364422798157, 0.11542128026485443)",1,1,2.552734375,2.8819580078125,"(-41.317935943603516, 65.2694091796875, 606.49609375)","(26.392864227294922, 63.15645217895508, 608.609619140625)","(-61.65763854980469, 186.7280731201172, 57.32166290283203)","(-53.435855865478516, 179.07217407226562, 54.535160064697266)",POINT (0.3381389379501343 0.0944619327783585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998151962,774457585,1,1,"(0.3224613666534424, 0.07750796526670456)","(0.34681928157806396, 0.11785946041345596)",1,1,2.56103515625,2.88568115234375,"(-41.56092071533203, 65.45494079589844, 606.9024658203125)","(26.154409408569336, 63.38788604736328, 608.925048828125)","(-62.96373748779297, 185.99655151367188, 57.05541229248047)","(-54.5474739074707, 178.6268768310547, 54.37310028076172)",POINT (0.3346403241157532 0.0976837128400803),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998168629,774474252,1,1,"(0.3254111409187317, 0.061974383890628815)","(0.3491222560405731, 0.1327776163816452)",1,1,2.5529327392578125,2.92523193359375,"(-41.80732727050781, 65.60348510742188, 606.9848022460938)","(25.897747039794922, 63.61083984375, 609.1912841796875)","(-61.94451141357422, 188.8335418701172, 58.08800506591797)","(-53.75172424316406, 175.90228271484375, 53.381378173828125)",POINT (0.3372666984796524 0.097376000136137),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998185296,774490918,1,1,"(0.32482075691223145, 0.06882628053426743)","(0.35015925765037537, 0.11762015521526337)",1,1,2.533966064453125,2.903793334960937,"(-42.08301544189453, 65.74620056152344, 607.278076171875)","(25.629169464111328, 63.823509216308594, 609.457763671875)","(-62.148502349853516, 187.58213806152344, 57.63250732421875)","(-53.39342498779297, 178.67059326171875, 54.38896560668945)",POINT (0.3374900072813034 0.0932232178747654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998201967,774507589,1,1,"(0.3213403820991516, 0.06661949306726456)","(0.3484097421169281, 0.12778274714946747)",1,1,2.562713623046875,2.931015014648437,"(-42.3701171875, 65.91583251953125, 607.6802978515625)","(25.344619750976562, 64.04457092285156, 609.736083984375)","(-63.35107421875, 187.9851837158203, 57.77920150756836)","(-53.9979133605957, 176.81451416015625, 53.713436126708984)",POINT (0.3348750621080399 0.097201120108366),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
