,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,-----------.1,namespace.1,std.1,double.1,afunc.1,int.1,n.1,if.1,n.2,==.1,0.1,return.1,0.0.1,-----------.3,double.2,term.1,=.1,1.0.1,/.1,pow.1,n.3,2.0.1,-----------.5,if.2,n.4,%.1,2.2,==.2,0.2,return.2,afunc.2,n.5,-.1,1.1,-.2,term.2,-----------.10,else.1,return.3,afunc.3,n.6,-.3,1.2,+.1,term.3,-----------.13,-----------.14,question,code,choices
0,37,18,764633969098,610835212,1,1,"(0.4372031092643738, 0.24845179915428162)","(0.4330941438674927, 0.27286967635154724)",1,1,2.5732421875,2.5279998779296875,"(-86.26461791992188, -20.0023193359375, 711.9730224609375)","(-16.895837783813477, -17.743366241455078, 713.07958984375)","(-23.31757354736328, 154.77590942382812, 45.69204330444336)","(-24.73731231689453, 150.31629943847656, 44.068885803222656)",POINT (0.4351486265659332 0.2606607377529144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764633985766,610851879,1,1,"(0.4448130428791046, 0.3206932544708252)","(0.4348488450050354, 0.2880120277404785)",1,1,2.6385650634765625,2.547027587890625,"(-86.38409423828125, -19.913419723510742, 712.0272827148438)","(-16.993480682373047, -17.623279571533203, 713.1724853515625)","(-20.688142776489258, 141.5819549560547, 40.889854431152344)","(-24.131025314331055, 147.55078125, 43.0622673034668)",POINT (0.43983094394207 0.3043526411056519),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764634002432,610868545,1,1,"(0.4479202926158905, 0.32530370354652405)","(0.4268132448196411, 0.2466280609369278)",1,1,2.629974365234375,2.50616455078125,"(-86.49226379394531, -19.86292839050293, 712.0413818359375)","(-17.08106231689453, -17.541549682617188, 713.2515869140625)","(-19.61450958251953, 140.7399444580078, 40.583335876464844)","(-26.90753936767578, 155.10899353027344, 45.81328201293945)",POINT (0.4373667687177658 0.2859658822417259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634019100,610885212,1,1,"(0.45305293798446655, 0.22453975677490234)","(0.43537718057632446, 0.25828805565834045)",1,1,2.5116424560546875,2.5147857666015625,"(-86.64906311035156, -19.816143035888672, 712.273681640625)","(-17.19683837890625, -17.463909149169922, 713.3295288085938)","(-17.84105110168457, 159.14312744140625, 47.281578063964844)","(-23.9484806060791, 152.9794464111328, 45.038185119628906)",POINT (0.4442150592803955 0.2414139062166214),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634035766,610901878,1,1,"(0.4481618404388428, 0.3193491995334625)","(0.42471620440483093, 0.2542708218097687)",1,1,2.593612670898437,2.5172576904296875,"(-86.75614166259766, -19.798465728759766, 712.084228515625)","(-17.328018188476562, -17.404537200927734, 713.3790283203125)","(-19.53104591369629, 141.8274383544922, 40.979190826416016)","(-27.63211441040039, 153.71315002441406, 45.305206298828125)",POINT (0.4364390224218368 0.2868100106716156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634052434,610918545,1,1,"(0.4416716694831848, 0.3029760718345642)","(0.422254353761673, 0.2578568160533905)",1,1,2.595611572265625,2.485336303710937,"(-86.91102600097656, -19.80852508544922, 712.0421142578125)","(-17.47048568725586, -17.360185623168945, 713.3431396484375)","(-21.77356719970703, 144.81776428222656, 42.067588806152344)","(-28.482744216918945, 153.0582275390625, 45.06684494018555)",POINT (0.4319630116224289 0.2804164439439774),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634069105,610935216,1,1,"(0.4461996853351593, 0.2983708381652832)","(0.42302894592285156, 0.26673468947410583)",1,1,2.591537475585937,2.5105438232421875,"(-87.10752868652344, -19.829299926757812, 712.2048950195312)","(-17.643115997314453, -17.311477661132812, 713.3196411132812)","(-20.209041595458984, 145.6588592529297, 42.37370300292969)","(-28.21509552001953, 151.436767578125, 44.47671890258789)",POINT (0.4346143156290054 0.2825527638196945),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634085769,610951880,1,1,"(0.44819897413253784, 0.3008064031600952)","(0.4277684688568115, 0.27390915155410767)",1,1,2.6033172607421875,2.51763916015625,"(-87.2950668334961, -19.864646911621094, 712.2838745117188)","(-17.829010009765625, -17.26378631591797, 713.4779052734375)","(-19.518232345581055, 145.21405029296875, 42.21178436279297)","(-26.577468872070312, 150.12644958496094, 43.999778747558594)",POINT (0.4379837214946747 0.2873577773571014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634102437,610968547,1,1,"(0.4568670690059662, 0.2849079370498657)","(0.43001165986061096, 0.2537047266960144)",1,1,2.579193115234375,2.491668701171875,"(-87.49076843261719, -19.903127670288086, 712.24462890625)","(-18.031139373779297, -17.224607467651367, 713.480712890625)","(-16.523178100585938, 148.11769104003906, 43.268638610839844)","(-25.802404403686523, 153.8165283203125, 45.342857360839844)",POINT (0.4434393644332886 0.2693063318729401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634119104,610985214,1,1,"(0.4504910409450531, 0.2357729971408844)","(0.4186522662639618, 0.14731763303279877)",1,1,2.523345947265625,2.396392822265625,"(-87.70210266113281, -19.936914443969727, 712.345947265625)","(-18.229148864746094, -17.187841415405273, 713.59619140625)","(-18.726255416870117, 157.09152221679688, 46.534873962402344)","(-29.727346420288086, 173.2467498779297, 52.41484832763672)",POINT (0.4345716536045074 0.1915453150868416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
