,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254789499,2033871369,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254806170,2033888040,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254822837,2033904706,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254839504,2033921373,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254856170,2033938039,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254872838,2033954706,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254889505,2033971373,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254906172,2033988039,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254922839,2034004706,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254939511,2034021377,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254956179,2034038045,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254972846,2034054711,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254989512,2034071377,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255006180,2034088044,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
